,0,1,2,3,4,5,6,7,8,9,10,11
0,BFHGEBA,ADGHFCB,BABEGGH,HGFECAA,ACGGGED,ABCEFGH,AADHGFE,GGGECBA,GGFFEBA,ABCEFGH,EFGGFBA,ABDFGHF
1,CFGFGCA,HGEDCBA,ADEFGFD,ABEEEGH,ABEFFGG,GGGDABB,ABFHGED,DBAGFFG,HGFECBA,GGFFEAA,EHGACCC,BBCCEHH
2,ABEGFFF,BDECBEH,ABEFGGD,HGFDCBA,AACEFGH,ABDFGGG,FGHECBA,GGGFEBA,HGEBBBD,ABCEFGH,GHFECBA,HFDBCCE
3,BDEDBDH,HGFDBAC,FGGFDBA,BABDFHH,GFDBADG,ABCFFGH,HGEDBBB,AACEFGH,HGECABD,EGGGEBA,ABCDFGH,GGGEBAA
4,ABEGGFF,FDABCFH,ABDEGGG,HGFECBA,AACEFGH,ABEFGGG,ABFHFDC,FFGGEBA,HGFECAA,ABCEFGH,GHGDBBA,BBCCFHH
5,ABCEFGH,AACFFGG,CCCHDEE,HGGECBA,HFCBBDF,ABCEFGH,FHHDCBA,HGFECBA,DBBCEHH,ABCEEGH,HGEECBA,DEGEGDA
6,FEEDADG,HGFDCBA,ECCCDFH,ABCDEGH,ABCEFGH,GGFFDBA,EDBACHH,FAAEGFG,HGFECBA,HGFECAC,BFECBDH,DEFGFBA
7,ABEFGFF,GGGEBAC,HEBEEBD,GHGDBAD,ACFGGEC,HGFDBAB,ACFHGDB,BABDFGH,EGGGEBA,BACDFGH,CABDEHH,DBACFHH
8,ABBDEHH,AAFGFEF,FGFFEBA,GHGDCBA,BABEFGH,ABCEFGH,HHFDBBA,HGFEDBA,CBBCEGH,ACDCFHH,CHCBFEE,FGCGFBA
9,HHGDBBA,HHFDCBA,GFDHEAB,AACEFGH,AACEEGH,GGGFDAA,EGHFCAB,ADFGGED,HGFDCBA,GGFEDBA,BDBCGHF,ABCFGGF
10,ABFGFFF,HGGBBBC,ABCEHFF,HGFDCAB,ABCEFGH,ABEFGGG,ABFHGED,FGGGEBA,HGFECAA,ABCEFGH,GGGFCAA,HGFEBAA
11,ABCEGGH,ABDFEHE,DFHGCAC,HGFECBA,HFBABEG,ABDEGGG,ABBEGHG,GGFEDBA,HGFDBAB,ABCDFGH,ABFGEFE,DGHEECA
12,HGFEBAB,BCCEFGF,GGEDBEB,BBBDDGH,ABDEFGH,GGFFDBA,BBBCFGH,HGFECBA,HGFECBA,BBBCEGH,CCDBFCH,FHEFCCA
13,ABCEGGG,HGEBADF,GGGFCBA,HGDBACF,ABDFFGG,GGGECBA,AABEGGH,ABDFFGG,GGGEDBA,HGDBBCE,ABDFGGG,ABCEGGG
14,HGGDCBA,CBCBDHH,HCECDCC,CCCCEGH,ABCEFGH,ACBDDGH,HGDBBCE,BEGGGCA,GGGEDBA,HGEDCAB,FGEDAFC,GFGECCA
15,ABCDFGH,EGEHEAB,GGGFDBA,HHFDCAB,ABCEFGH,ABEFGFF,BDHHEBA,FGGGDBA,HGFDCBA,ABCEFGH,ACGGGCD,DCCEHGB
16,GHFDCBA,GHCBDBE,BAEECFH,ACCCEGH,ADDFEGF,GEGGDBA,HDABCGG,CCGFBEF,FGGDFDA,HGEEDAB,GEGGBBA,EGDGFAC
17,HGFDBAB,BGHEDBC,FGBBAFG,ABCEGGG,ACFGGFB,HGFEDBA,BBBCEGH,FHGECBA,HGECBBC,BBBEEFH,GGGCADC,HGFCABE
18,DGGGDCA,GDFBAFG,DACHGEB,HFGFCBA,FBBEHDF,ABCEFGH,GGGECBA,HGFCABC,BBBCFGH,ABEEGFH,HHFDBBB,GCGEECB
