,0,1,2,3,4,5,6,7,8,9
0,BBBCE,EDAAD,EECAA,ADDDC,ABBEE,DCDCA,CCBBE,AACEE,AABDE,EDBBB
1,DDDCA,ECBBB,ABDEE,EEBBA,DDCAC,BABDE,CBBCE,ABDED,BBBEE,ABCDE
2,DDDCA,EDDAA,AACEE,CCBCE,ADCCC,CBBCD,BCCDC,ABCEC,AABDE,ABCCE
3,DDDBA,ABEDC,DBBDD,BBADE,DEDBA,EEBBA,AACDE,ABDDE,DDDBA,ABDDE
4,DDDBA,BACED,BEBCC,BBBBE,ACEDC,EDBBA,EBBBD,AACEE,CCDDA,ABDDE
5,DDDCA,EDDAA,AADEE,CCBEB,DDCBB,ADECC,ACCCE,BCCDC,BABDE,ACDDD
6,DDDCA,EDABB,ABDEE,EECAA,ACEDB,ECCAA,ABCDD,AADEE,BBBBE,ACDDE
7,DDDCA,ECBBB,ABDEE,EEDAA,EBDCA,BABDE,DBDDA,ABBDE,AABDE,AADDD
8,DDDBA,AABEE,EEBBB,BBADE,ABCDE,ABCDE,ABCCE,BCDEA,CABDE,DDDAA
9,ABDED,EDDBA,ABDDD,EECAA,DCBBC,BCDEB,DCBBC,EEBAA,AABDE,ABDDE
10,DDDBA,BBECB,CABDD,AADEE,EECBA,ECBCA,DCCBB,ABDEE,DDDDA,ABDDE
11,DDDCA,CCEBB,ABCEE,DCBBD,BBBDE,ACCDD,BBDEB,ABCDE,AABDE,AADEE
12,DDDBA,BBADE,DDEBA,DCBBC,ACCDD,ABCDE,ABCDE,ABCED,BABDE,EECAA
13,BBBCE,DDBBD,EECAA,ADDDD,ABCED,DCDBB,BBBCE,ABCDE,ABBDE,EDBBB
14,DDDCA,EBBAE,BBDEC,EDCCA,AACDE,ADDDB,ACDDD,AACEE,ABBDE,ABCDE
15,DDDBA,AADDE,EACCC,AACEE,ECBBB,ECCBA,BDCCC,ABCDE,ECBBB,ABDDE
16,DDDBA,AADDE,EEABB,CBBBE,ABCDE,ABCDE,ACDDD,DDDBA,ABBDE,EBBBC
17,DDDBA,BBAEE,BDEBB,CCBBE,ACDDD,EDCBA,EDCAA,ABBDE,ABBDE,EECAA
18,DDDBA,BBAEE,DECAA,CBBBE,ABCDE,ABDDE,ABBDE,CDDDA,AABDE,EEBAB
19,DDDBA,AADDE,EEABB,BBADE,ECBBB,EDDCA,CBBCE,ABCDE,ABBDE,EBBBB
20,BBBCE,EDABD,EEBBB,AEDBB,CCADE,CEBBC,DDDBA,AACEE,EEBAB,ABDDE
21,DDDBA,AADDD,ECBBB,AADDD,EDBAB,ECCBB,ECCAC,AACDE,DDDDA,ABDDE
22,DDDCA,EDDAA,ABCEE,DDDCA,CBDDB,EBCCA,EDDBA,ABCDE,ABCDE,BBBBE
23,DDDCA,EDBBB,ABDEE,EECAA,ECCCA,ECBBC,CCBBE,ABBEE,ABDDD,BEDCA
24,DDDCA,ECBBB,ABDEE,EECAA,EBBBC,EDCAB,ABCDE,AADEE,BBBCE,ACCDE
25,DDDBA,ACDDD,EABCC,BABEE,EDBBB,BCDCB,ECBAC,AACDE,DDDBA,ABDDE
26,BBBBE,EDCBA,ABDEE,AEDCC,EDBAA,EDBAB,BBCCE,CDBCD,EEDAA,ABDDE
27,DDDCA,EDABB,ABDEE,EECAA,ABCEE,ECDAA,DECBA,ABDDD,BBBEE,AEDCA
28,DDDBA,BBADE,DDEBA,CBBBE,ABCDE,ABCDE,ABCDE,CDDDA,AABDE,EDBBB
29,DDDCA,EDABB,ABDEE,EECAA,DDCCB,EDCAC,ABCDE,AADEE,BBBCE,ACCDE
30,DDDCA,EDBBB,ABDEE,EEBBA,ABECD,EDDAA,ACCCE,ABCEE,AADDD,ABCDE
31,BBBCE,EDBAD,EEBAA,ADDCC,ACCDD,BDCAD,ABBEE,AACEE,ABBDE,DBCCC
32,DDDCA,CCDDB,ABCEE,DCBAD,DADCC,ACDDD,DBDBB,ABCED,AABDE,ABBDE
33,DDDBA,ABDDD,EABCC,BACEE,ABCDE,ABCDE,ACCCE,EEBAA,DDDDA,ABDDE
34,DDDBA,BBAEE,DECAA,BBBCE,ECBBB,DECAA,ADCBE,ABCDE,ABBDE,DBCCC
35,BBBCE,EDAAD,EEBBB,AEDBB,ABCDE,EDBBB,BECBB,ABCEE,CCDDA,ABDDE
36,DDDBA,BBECB,CABDD,AACEE,EDCBA,EDCBA,CCACE,ABDDD,DDDBA,ABDDE
37,DDDCA,EEBBB,ACDDD,DDEBA,EBBBC,ADDDB,BBCCE,BBCDC,ABBDE,BBBCE
38,DDDBA,AADDD,ECBBB,BABEE,EDBBB,DDBBB,DCBBD,AACDE,ABBDE,EDBBB
39,DDDBA,AADDE,EEABB,BBBCE,EDBBB,DDDBA,ECCAD,ABCDE,ABBDE,EBBBB
40,DDDBA,BABEE,EEBBB,BBADE,ABCDE,ABCDE,AACDE,BCDEA,BABDE,EECAA
41,DDDCA,EEABB,ABDEE,EECAA,BBECC,EECAB,BBBDE,BBBCE,BBBDE,ABCDE
42,BBBDE,ECABD,BABEE,EECAA,DCBBC,EDAAC,ECBAD,DDDAA,AABDE,ABDDE
43,DDDBA,AADDE,EEABB,BABEE,ABCDE,ABDDE,ADDDB,EEBAA,DDDDA,ABDDE
44,DDDCA,EDBBB,ABDEE,EECAA,DACEB,EDBBA,CCACE,ACDED,AACEE,ABCDE
45,DDDCA,EDCAB,AACEE,DDDCA,EBBBC,DDDCA,DDCBA,ABBDE,ABBDE,AADEE
46,BBBCE,ECABD,DDEAA,ABDDD,ABCDE,DCDCA,DABBE,AACEE,AABDE,CDDDA
47,DDDBA,ADEBB,CABDD,BBADE,ADEDA,EDCAB,BBDCD,AADED,ABBDE,ABDDE
48,DDDBA,ACDDD,EABCC,AACEE,EDBAB,ABEDC,DCBAD,ABCDE,DDDAA,ABDDE
49,BBBCE,DDABD,ECBBB,CEDBA,BBDCE,BBDEC,EDBAC,ABCEE,DDDAA,ABDDE
50,DDDBA,BBAEE,DDEAA,CBBBE,ECBBB,DDBBB,EDCAA,ABCDE,DDDAA,ABDDE
51,DDDBA,BABEE,DECAA,CBBBE,BDBCD,EAADD,DBBBD,AACDE,ABBDE,ABDDE
52,DDDBA,ACDDD,EABCC,ABEDD,EDBBB,CECBA,DCDAC,ABCDE,EECAA,ABDDE
53,DDDCA,EEDAA,AADEE,CCCEA,AACDE,CCBCD,CCCCC,BACED,BBBCE,ABCDE
54,DDDBA,BBAEE,BDEBB,CCBBE,ACDDD,EDCBA,EEBAB,ABCDE,ABBDE,DEDAA
55,DDDBA,ADDCC,ABCDE,EECAA,EDBBA,AAEDD,ABCDE,DDDAA,AABDE,ABDDE
