,0,1,2,3,4,5,6,7
0,BCCBACD,CBAABDD,DDBAABD,DCAABCD,ABDDCBB,DDCCBBA,AABCCDD,DBAACDD
1,CDDCCAA,CAACCDC,AABBCDD,CCDDCAA,ACDCBAB,DDDCBAA,DDDBAAA,AABBBDD
2,ABDCCCC,AABCDDC,DDCAAAB,AABCDDD,DDCBAAA,DDCBAAA,AABCDDD,DDCBAAB
3,ABAADDC,BACDDBA,AABCDDD,AABCDDD,DDBBAAB,CDDCAAB,DDDCAAA,BCDDCAA
4,ACDDCBB,AABCDDD,DDCBAAB,AABCDDD,ACDCBBB,DDDCBAA,AABCDDD,CBAABCD
5,AABCDDD,ACBBDBC,DDCBBAA,AABCCDD,DDCCBAA,DDBAABD,AABBDDD,BABCDDA
6,CCBBDDA,DCBAABB,AABBCDD,ACDDCBA,CAADDCC,DDDCBAA,DDCAABB,AACDDDB
7,ACDDCAB,CADBBBB,BBAABDD,DDCBBAA,BDDCBAB,ABCDDCA,AABCDBC,ACCAADD
8,AABCCDD,DDCCCBA,DDCBAAA,AABCCDD,DDCBAAA,DCBAACD,AAACCDD,CCCCCBA
9,DDCBBAA,DCCBCAA,AABBCDD,BCDDCBA,BDBAACD,DDDCBAA,DDCBAAA,AAABDDD
10,ACDDCBA,AABCCDD,DCBAABC,AABCDDD,ACDCBCC,DDDCBAA,AABCDDD,DDCBBAA
11,AABCCDD,CDBCCAA,DDCCBAA,AABCCDD,AABDDDC,DDDCBAA,AABCDDD,BBBDCCA
12,DCBABCC,DDCCBAA,AAABCDD,ABDDDCA,AABDDDC,DDCCBAA,AAABCDD,DDCCBAA
13,AACCDDC,CCDDCAA,CBAACDD,BDDDCAA,AABCCDD,CDDCCAA,DBAABCD,AAABCDD
14,DDCBAAA,ABDCCCC,AAABBDD,AABCCDD,DBAABCD,DDCCBAA,DCBABBA,BCCCCBA
15,AABBCDD,CBCDDBA,DDBAABC,AABCDDD,BDDBAAB,DDDCBAA,AABBCDD,CABBCDB
16,DDCBABA,AABBDCD,AAABCDD,BDDCDBA,CAABCDD,CDCCBCA,DCCABAB,DDBBBAA
17,DDBAABB,CBCDAAD,AABCCDD,DDCCBAA,AAABCDD,DDCBAAA,AABBCDD,CDDCBAB
18,CDDCAAA,ADCADCB,DDCBAAA,AAABCDD,DDCBBAA,AABBBDD,ABCCDDB,DDCBBBA
19,ABAACDD,DDCBABA,AAABCDD,AABCCDD,DBAABCC,DDDCBAA,DCAABCB,AABDCDD
20,ABBBACD,DDCBAAB,DDCCABA,BAABCDD,AADDDCB,DDCAABD,ABCDBCD,DDDCBAA
21,DCBAABD,AABCCDD,CDDCBBA,DDBAABB,ABDDCBA,BAABCDD,AABDDDC,DDDCBBA
22,CAACDCB,ADDCAAC,DCAABDC,CBBDDBA,AABBCDD,BDBACDA,DCDDBAA,AABCDDC
23,BDDDBBA,AABDDCC,BAAACDD,DDCBAAA,DCAABCD,DDDCAAA,AABBBDD,AABDCBD
24,ABCDDCB,DDCCBAA,AABBCDD,DDDCBAA,BBAABDD,CDDDCAA,DCAAABD,AABCCDD
25,ABDDDCA,DDCCBAA,AABCCDD,DDDCBAA,CCAABDD,BCDDCBA,DCBAABB,AABBCDD
26,CDDCBAA,DCCABBB,BBBABDD,ABCDBBC,DDCBAAB,DDCBAAB,ABBCDDB,AAACDDD
27,DDCBBAA,DDCBAAA,AABBCDD,ABBBBDC,DBAABDD,BBDDCBA,DDCBBAA,AABCCDD
28,DDBABBB,DDCBAAA,DDDCABA,AACDDCA,BAABCDD,AABCDDC,DCBBCBA,AABDDDC
29,ABBBBDD,ABBCDCC,DDDCBAA,AAABCDD,BCDDBAA,BBAABDD,DDCBAAA,AABBCDD
30,CCDDCAA,DDCBAAA,AABCCDD,CDDCAAB,DDBAABD,CCDDCAA,DDBAABB,AAABCDD
31,ABDCCDB,AACDDCA,AACDDCC,CABDDCA,AACDDCC,BDDDBAA,DCABBBD,CAABCDD
32,DDCAABB,DDCBCBA,DDDCBAA,AABCCDD,DCBAABC,AABCDDD,DDDCBAA,ABBCDDB
33,BBCAACD,CAACDCA,ACDDBAB,DDBAABC,AAACCDD,ACDBBBD,DDBAACC,BAACDDD
34,DDBAABB,ABCCCCD,DCCDCAA,DDBAABC,ABDDCBA,CBAABDD,ABCDCBB,DDDCAAA
35,DDBAABB,ABDCCCC,AABCDDD,AABBCDD,DCAABCC,DDDBBAA,DCCCBAA,DDBBCCA
36,AABCCCD,ADCCCAB,DDCCBAA,AABCCDD,DDCBBAA,CBAABDD,ABCBACD,DDDCBAA
37,DBAACCD,BABBCCD,CDDDBAA,DCBAABC,BCDDCAA,AABBCDD,DDCBBBA,ABDCDBB
38,DDDBBAA,ABBACDD,BDCBDCA,DDCCBAA,ABDDDCA,DDDBAAB,ABBABDD,AAABCDD
39,ACDDBBA,BBDDAAB,AAACDDD,DCBCDCA,AAABCDD,DCABDAB,AABDCCD,ACBACDD
40,ABBDDCB,DDCBAAB,CDDCBAA,ABDCBCD,AABDDCD,DDCCCAA,BCDDDBA,ABBABDD
41,DBBAADD,CDDBCAA,ABDDBBA,CDDCBAA,CCAABCD,BCDDCAA,AABCDDC,BCCDDAA
42,AABCCDD,DDDCBAA,DDBAABC,AABCCDD,AACDDCC,DDCCBAA,AABCCDD,DBBDBCA
43,DDDCBAA,DDCBAAC,AABBCDD,CCCDCBA,ABDCBBC,DDCAABB,DAABCDD,AABBCDD
44,CDDCBAA,ACCCACD,BACDDBA,DCCCBAA,AABBDDD,DBAACCD,BBDDBAA,DDDCAAB
45,ABDDBAD,DDBAABD,DDBAABC,AABBCDD,DDCBAAA,BCDDBAA,BCDDBAA,CDDBAAC
