,0,1,2,3,4,5
0,BEEDBAEHHFB,AADGHHGFDBB,AEHGECBDEFG,BCHHGFEDCBA,GFFECAABEGH,FGGFBAACFGF
1,GGGGGFECBAA,ADDFDCDFFGH,ACFFGGHGCAB,ADHHEDBBEDE,HHGFECCCCAA,BCBBBCDEFHH
2,ABFFFDEFDDH,FGGGGFECBAA,AABDEFFGGGG,GHHEDCCCCBA,DCBABCDFGHH,HHGFECBBBBB
3,CDDCEHHGCAB,GHGECBAACFG,CBBABDEGHHH,HGDCBAACEFG,GECBBEGHGDA,ABCDFGHHFBB
4,ADGGGFDBCDF,FFGGGGEDBAA,AABDEFFGGGG,BEHGEDDEDBA,GFEBAABDFGH,HHGDCBABBEF
5,AABCEEFGGGG,GFGGGFEDBAA,EBAABDEFGHH,GHGFFEDCBAA,BAABCDEFGHH,HFFCABEFEFA
6,GFFDFGGEBAA,BBBBBDFFGHH,AACEFGGGFEC,DBABHGEEFFF,HHGEDDCCBAB,ACBABEGHHGE
7,CFGHGGDEBAB,HCDEBFHFCAC,DGHHGFDCBAA,BEGGDBABEGH,GHHGDBBBBBC,BABDFGCBEHH
8,AABBEFFGGGG,GGGGFDEDBAA,AABCEEFGGGH,HHGEDCCCBBA,AAABDEFGGHH,DGCFFDGBGBA
9,HHGEEDDCBAA,DCDCBBBEGHH,BBEEGHGGEBA,CGFBABEGGGF,HHGFECCBBBA,BBBCCBDFHHH
10,AEHHGFDDBBB,FGGGGGECBAA,AABDEFFGGGG,ADHGEEEFECA,FECBAACEFHH,HHGGEDCCBAA
11,AABDDFGGGGG,FGGFFGFDCAA,EBAACDFGGGH,AABFGGGFFED,HGEBAABCEGH,ACFDEDGHFEA
12,GEDAACEEGGG,DECBCBCCEGH,AACDFGGGGFD,BBBFHHGFECB,HHGFCBBBBCD,FFFGFFFCCBA
13,AACEFGGFEFF,HHHGFDCBAAB,AADFGGGGFEC,AABDDEFGGGG,HHGGFECBAAB,AACDDDEFGHH
14,HHGDCBBBBDG,HDDEDDABBEG,AABDEEFFGGH,HDAABDFGGFD,HHGGFDCBBAA,FGDBFCGGDCA
15,AABCCFGGGGG,HHGGFEDCBAA,AABCEFFGGGG,EGHGDCDDDBA,HGECAABCEGH,ADFFCDEDGHC
16,HHGEDCEBBBB,AACBDEEFFGH,ACEDGGFGGDB,DAABDEGGGGG,GHGGFEEBBAA,HHHFECCBDAB
17,HHGCBBCCCCC,BBBBBCDFHHH,FGGGGFEDBAA,AAABDGHGGFF,HFCAACDEFFG,HHFCFEEDAAC
18,GHHGECBBABC,FEGGGEDDBAA,BBBBBCEFGHH,HHHFEDCBBAB,AAABDEFGGGH,HHGEEEBCBBA
19,ACBBBFHGGGD,HFFGDBBBBCG,AABCDEFGGGH,HDBABCDEFFF,HHGGFECBAAA,BDAABDGGFHG
20,BBBCCBCFHHH,FEBABEHHFEB,GHEBAABDEGG,BCFHHGFECBA,CAABEDEGHHG,EFFGGHFDAAA
21,GFCAABCEGHG,BABDEEGHGGC,HHGGECBABBC,CEGHHGECBAA,AABDFFFGGGG,GGGFGFDCBBA
22,EBABGHFCBEH,HDBADHHFBBC,FHGCBCDFEBA,AABBBFHFFGG,FEGHEDBBEEA,AABDCEFGHGG
23,FGGGGEFDBAA,CGHGEECBABH,GHHGFECBAAB,EEBAABDFGHH,HHECBBBCDDC,FGDAACGGDDH
24,ADGGHGGECAA,FECBBBBCFHH,ADFGGGFEDBA,BCCABCEGHHH,HHGGFDCBBAA,ABBBCDEGGHH
25,BEGGHGFDBAA,GFDCBAABEGH,ACFGHGGEDCA,CCBABCEFGHH,HHGGFECBBAA,ABBBCDEFGHH
26,FGHGGEECBAA,HFGFGECBBAC,AACDFGGGEFG,HHGDBBACEDC,GCAABCFFFGH,DCBBBBDGGHH
27,HHGEEECBCCA,DDBBCBCDFHH,AACEFFFEGHF,ECAABCFGGGH,GGGGFFDCBAA,CBAACDEFGHH
28,HHEBBCDDFCB,HFEFECFEEBA,CCBBBEGHHFB,CBAACDFGGGH,EGHHFDBBBAB,CABACCGHHHE
29,ABBCCCFGGGH,EEFEEEHGEBA,HGDBABCDEGG,EFHHGEDCBAA,AABEGHGGFED,GECABCCFFHH
30,FGGHGFDCAAA,GFDCBBACFHH,ABEGHHFDBCE,GGDBAABFGGG,HHGGFDCBBAA,BBBBCCDEGHH
31,BDGGFGGEBAB,FGFDBAACFHG,GHHCABDEDCA,AACGGFEDEFG,HGGFFFEBAAB,EFGDAABEGFG
32,HHFBAACDDEE,GHHGEDCCBAA,BBBBBDEFGHH,HFDBAABEFGH,DFHGGFDDCAA,BAACDFFHGGE
33,ECGEBAFHGCB,BFHEBABEHGC,ABEHHFBBCEF,BAACFDFGFGH,GFFFGGGDBAA,EGFBAACFEGG
34,HGDABBBCCGH,ADBACGGFFHE,HHGFEBAABCD,DEGHGFECBAA,AABCEFGGGGG,GGGGFFEBBAA
35,HHFBABCCCEF,GCABBCCEGGH,ABBBCDEFGHH,HGAABCFFEDE,HGGGFEBBBBA,GGHFFCADDCA
36,BBBCDCCFGHH,GGGEDGEDBBA,AABCDEFGGGH,HHGFEDCCBBA,AABCDEGGHGG,EFGFGGFDBAA
37,FCBABFEFHEG,AACCFFFGHGB,HHGFDCBABCD,DFHHGFDBAAB,AABCEGGGGGG,EAAADHEHGEE
38,HHHGEDCCAAB,BABFECFHGEG,HHGFEDDCBAA,ABFHHGECBCB,ECAAAEGHGFG,BCBBCCDEFHH
39,CFHHGEFEBAB,GECBCCBBEHH,HHGFDBCDFCA,AAABDFHHGFE,BEHBCCBBEGH,BCBCEEACGHH
40,ACCDGGDBFHG,EDBAADGHGFD,FBAADGGFEFG,AABEGFFGGFE,HGGEBAACFGF,FBABDEDCFHH
41,ECBBABFFFHH,DCDBABDFHHF,GHEDFGECBAA,CCBBABDFGHH,HHGFDBAACDE,GDBEEDGHEAA
42,AABCFFGGGFG,HHGGFEDBBAA,AABCDEFGGHH,ABEGHGGFECA,HGDCAABBDGH,AFGGCCGFDEA
43,HHHGEECBBAA,CCAABDEFGHH,CEEFFFGGFCA,ABGHEBBFGFE,HFFGGFCAABB,AABBCDEFGHH
44,EFFEECAADHH,DCABEFCCFHH,HHGFEDECBAA,AABCEGHGGFE,AACCCEFGGHG,EFGGHGEBAAC
45,ABCFEBBEHHG,FCCFHHGECAA,AACCDEFFGGH,HHFECBCBBCD,FECAABEGHHE,BADGHHGBADF
46,BBBCCBCFGHH,GEGFBDHFCAA,GDAABCEFGGH,GHHGFEDCBAA,AABEDDGHGEF,FFGGHGEBAAB
47,BCCBACEGHHG,FFGFGGFDBAA,BAABDEFGGGH,HHGEEDCCBBA,AABDFGGGFFF,FDCDFHGEDAA
48,HHGFFEDCBAA,AAACEEFGHGE,GFGGFCBAACH,FGHGEFDBBAA,ECBABBDEFHH,CAABCCFGHGG
49,HHGFDCDDBAA,AACDEGFEEGG,HGGGGEDCBAA,ABEHHGFDCBB,GEBAACEFEFH,DECEDBBCCGH
50,AABDDFGEGHG,FGHGGEDBBAA,AABCDEFGGHH,FHHGFEDCBAA,ECBBABEFGHH,HHECCDEBEFA
