,0,1,2,3,4
0,DDBEFBB,EFDABED,ABCDFEE,FEDBABE,EEBBEDA
1,FFEDBAB,BABBDFF,CAADFDC,FFECBBA,BBBBDFF
2,ACCCCEF,FFCAACD,BDEFDAA,DCBACEF,FFDBBBB
3,BBEFBBE,DAAEEEE,EFFDBAA,DEBAEFA,ACEFCBD
4,AEDBBDF,FFDBABD,ABBDFDE,FECAACF,FDBABDE
5,ABCDEEE,FFECBAA,ABEFEDB,CBABDEF,EEDEECA
6,EEFEBAA,ABCDEFF,FEDAADC,FFECBBA,AACFFDC
7,DFFDBBA,BBBADFF,FCADEBB,DEFDAAB,ABDBDFF
8,AADEEEE,FEDBABD,DEFFBAA,CAACEFF,EEEEECA
9,FEDCBAA,AABCEFF,EDBEBAE,FFECBBA,BBBCDEF
10,BFECABE,FECAADE,ABBDFEE,EECAADF,FFDCBBA
11,ABCEEEE,FFECBAA,ABBCEFF,FFCAACE,CEDFEBA
12,EAADEEE,AABCEFF,EEBACFD,FFEBAAB,EEEECAA
13,ACEEDEE,FCAACEF,CCAADEF,FFEDBAA,ABCDEFE
14,FDBABEE,BBBBDFF,CDFCACE,FFEDBAA,DCCECAF
15,AACEEEF,FECAACE,ACCFFCD,FECAABE,CEDDECA
16,FECCABC,ABBCEFF,FFDAACE,EEEDCBA,FFDCBAC
17,FDBCBCC,AACDEFE,EDBABEF,FEBABCC,DCCCBCF
18,FFDBABB,FFECAAB,BDEFDBA,AABCEFF,FDCBBBE
19,BBCFFDA,BBABDFF,EEFCABC,FFEDBAA,BABEEEE
20,ABACFFE,CEFECBA,AABDFFE,DBABDFF,EEFEAAA
21,DAABEEF,EEEEDBA,AABDFED,AABEEEF,FEEDCAA
22,CAFDBFC,AFDAEEC,CDABBFF,EEEEBCA,ABCEEFC
23,EFEDAAD,BBABFFE,FCDEABF,FFDBABB,DBAECED
24,CFFECBA,AABCEFF,FECBABE,FFEDBAA,AABDEFF
25,DFFECAA,BABCEFF,FECBABE,EFEEBAA,AABDEFF
26,EFEDBAA,CBBACFF,EDEFCAA,FEAACDE,BAACEFF
27,FEECDAA,AABCEFF,EEEBABE,EEEECAA,AABCEFF
28,FCCDDBA,FEEDBAA,EFDAACE,ADFFCBB,CBCFFCA
29,ABBDEEF,EEEECAA,ABCEFEC,BABEFED,CABCDDF
30,EFEDBAA,AABCDFF,EDEEBAD,EFEDCAA,ABBCDFF
31,BEEEABE,CACFEDC,BBABFFE,EFEDCAA,DDABEEE
32,FDABDDC,FEECBAB,DFFDBAB,ACFFDDA,BBDEEBE
33,CDAEEAE,DAEEACE,BBDACEF,DEDEEBA,ECACDFC
34,EBABCFF,DEEEDCA,AACEFED,BABDEFF,FFEDBAB
35,FCABBEE,AABDDEF,BDFDABD,FFEDBAA,EEDBCAD
36,AABCEFF,EFECAAD,CEFFCAA,BAACEFF,EEFEBAA
37,CABDDEF,EEEEDBA,AACEFEC,AABDFEE,DBEEEDA
38,FFDCABA,DDEEEBA,BBACFFD,EDAAEFE,BABCEFF
39,DFEEABA,AAAEFED,EFCAADE,FBEBBBE,BBCAEEF
40,ACFCEEA,BEFECAB,BABBEFF,FEEBACD,CACCEFC
41,CAADEFE,ABEFDBC,FECCAAE,EFECAAC,ECDFDBA
42,ABDEEED,FECAACD,AABDFFE,FECAABE,DEDEEBA
43,FFECBBA,AACDEFF,FEABEBC,FECECAA,AABCEFF
44,CCBADFE,CDCFEBA,ECAACEF,BABCEFF,EFFCACC
45,ADCCFEA,EFDAACD,DEFEBAA,BDCACFE,ADFDBEC
46,ABBCFFE,EEEDCAA,ABDFFCB,CAADEFE,EFFCABA
47,BAADFEF,FFECAAC,DEFFCAA,AABEFEE,EDFECAA
48,FEECBAB,BDFFBBA,BACFFDB,EDBABDF,AABEFEE
49,FFCDBAB,BECFEBB,BBACFFE,FEBACCE,BBBBCFF
50,ABCDEEF,FEDBABC,ABDFFDB,ECAACEF,FDDDEBA
51,BDFCFAB,DCABEEE,EBAEFBD,EFFCBAA,CEABEDE
52,BEAFDBE,CAFDADD,BCCACEF,DECFCAB,CCEABEF
53,AEECBDF,FECAACE,ACACFDF,FEDAACE,FEBABDC
54,DBABEEF,ABDCCEF,ABBEEEE,FFEDBAA,FEDDBAC
55,DFEDBBA,CDBADFE,FDACEBD,DFFCABB,AABDDFF
56,FFECBBA,FDEDAAD,BBDFFCA,ABBDFFD,FCABCEF
57,ACFEECA,FFCABBC,ACEFECB,ABBDFFD,DBAEFDB
58,BBDBBFF,FFCACBD,ABCFFDC,CCBACFF,FABEFBC
59,BBACEFF,FFEDBAA,ABDFFDB,AACEFED,ECACEFB
60,ABBEDEF,FECBABD,ABDFFDB,EDBABEF,FEEECAA
61,DCCFBAE,FDAACEE,BABBDFF,EDDEFBA,BEDBEFA
62,EBABCEF,EEEEDBA,ABCEFEC,BAACEFF,FFEDBAB
63,EFECBBA,FFDBAAC,ACEFECA,CBABDFF,FDCCBBC
64,FEDDBAB,ABBCEFF,EFEBCBA,FFEBBBB,DEEEEAA
65,BEFFBBB,EFFDAAA,ABBCFFE,FECAACE,CCABFDE
66,ABDEEEE,FFDCBAB,ACEFECA,DBABDEF,DEEEEBA
67,ABFEDCD,FFEBABB,BBBBCFF,FEEDBAA,ABBDFFE
68,FECCCAB,ABBCDFF,FDEBACD,EFEDBBA,FDCCDAC
69,BFFEBBB,FECBABD,ABCEFDC,FFDBABB,AABCEFF
70,CBBADFF,ECFEDAA,BABDFFD,AABDFFD,EEFDAAB
71,FFECBBA,AABDEFF,FECAAEE,FFEDBAA,ABBCDEF
72,FCADBCC,CBBBCEF,DEFCABE,FFEDCAA,ABBEFDE
73,EFECBAB,EECAADF,DEEFBAA,CBAADFF,DDDDCEB
74,FEAACCE,EEEECAA,AABDFFE,CAABEFF,FEDBACC
75,CFFECAA,AABCEFF,FECBABE,FFEDBAA,AABDEFF
76,DFEDABC,BACCDFF,ECEFAAD,EFEBBCB,BABCEEF
77,ACFFDCB,FEBABCE,ACDFFCB,FEBBCBB,AABDEEF
78,DBDFDCA,BABBDFF,EFFCAAB,EEEECBA,EEEBBAC
79,FEECBAA,BEEFBBB,BAACFFE,FDBABCF,BBACDEF
80,ABCFEBE,FEAADCC,AABCFFE,FECDEAA,BEBDFCA
81,FFEBABB,BFFFBBB,BAADFEC,FECABBE,ACBCDEF
82,EFEDBAA,FDBAADF,CEFFCAA,ABBCFEF,ECBACEF
83,FEBAACD,EEEECBA,ABDFFDC,AABDEFF,FFEBAAB
84,ABADFFF,DFFCBCA,AABDFFE,CBACEFF,EEEECAA
85,FBABCDF,ABDFFEB,FFDBAAD,ABEFECB,FFDCBAB
86,FEEDBAB,EFEEBAB,BAACFFD,FFCAACD,ABBEEDF
87,CFFECAA,AABCEFF,FECBABF,EFEDBAA,AABDEFF
88,FDCCBBB,ABDECCF,BDFDABD,FEEDCBA,EDBABCF
89,FFEBBAB,DFECABD,BDEFDBA,BBACDFF,FDDEDAA
90,BDFDFCA,ADECBEF,CDEFCAA,EFCCECA,BDDADFC
91,ABDEEEE,FEEDCAA,ABCFFEC,DBABDFF,EEDEDCA
92,ACEEEED,FFECBAB,ABBCDFF,FEEDCAA,BBBDEFC
93,FEDCBBC,EFFDBAA,BDEFDBA,AABDFFE,ABBCEFF
94,DEFEBAA,BBBBDFF,FDBEDAC,FFEBAAB,AABDFFE
95,CFFDBAB,FFCAACE,BCABEEF,FFEBABD,CBABDFF
96,FFECAAA,ABBCDFF,EDEFAAC,FFEDBAA,AABCDFF
97,BBDFDBE,FCACFEB,ABBBEFF,FEDBDCA,AEEBEDB
98,AABCFEF,DEFDCBA,ABCEFEC,BABCEFE,EEFFBAA
99,EFEDBAA,CDBABEF,EFFEBAA,CBABDFF,EBABDEF
100,FFDCAAB,AACDEFF,FDDECAA,DEEDABD,AABCFFF
101,ABDEEEE,FFECAAB,BDEFEBA,FDAABDF,CDCEFDA
102,FCBECCB,BABBEFF,BACCCEF,FFEDCAA,CBBDDCF
103,DDFECCA,AACDEEF,FFCBCBB,DDBBFEA,BEEABFD
104,AACBEFF,EFEEBAB,BDFFDBA,BABDEFF,EEFEBBA
105,ECABEFC,AABCDFF,EFFCAAB,FFECBAA,EBFBBBE
106,ADEEDCD,DBABDFF,FFDDAAC,FFECAAD,ACBDEFD
107,DEEDACD,AABEFEE,FFECBAB,CEFEBAB,CFFBADC
108,BFFECBA,BAACEFF,FEBABBF,EEEECAA,AABDEFE
109,AACDEEF,FECAACD,ABBCFEF,FEDAACE,EFEDCAA
110,FCABBDD,ABBCEFF,FFEBAAB,FEECBDA,FFECBAC
111,FEBBACD,ABBDDFF,AACECFF,FFEDCAA,EECCABF
112,BCFFEBA,AABCEFF,CBBACFF,FFECBAA,BCEFDCA
113,ABCFFBE,FBACBED,CEFFCBA,DECCEAE,FDBEECA
114,DFFEBAA,BDFFCBB,BAACFFD,FFCABCC,AABDEFF
115,FDABCDE,DBAADEF,ACFDBDF,FFEDBAA,EEDCAAF
116,CABEFDB,DDCBACF,FEBABCD,ACEEEDB,BDFDFCA
117,EFEEBAA,AABCEFF,DDCFCAE,FFEDBAA,ABBCDFF
118,ABEBEFC,AEFEBBD,BCEFEBA,BBACEFD,ADEBFDA
119,ABDEEED,FFDBABD,ABBCFEF,FFDBAAC,ABCEFEB
120,FDCCBBB,ABBDFFE,EDAABFF,FCAACEE,BFDCCBD
121,BBACFFE,FFEDCAB,DEFECAA,ABBEFED,EEFDAAB
122,FDAABDE,DEFEDBA,ABCEFEC,ABDEEEE,FEDBAAE
123,CEBBADF,FFEBAAC,ACDFFCB,DCAACEF,FECBBBC
124,FDCCABD,ABBDEFF,EFECDBA,DCAADFE,DEEEDAA
125,ACEFEDC,CBABDFF,FFECBAA,AABCEFF,CDDEDEA
126,BEFECBA,DCBABEF,DEFEBAA,ABBDDFF,CAAEFFC
127,ABCEEDE,EDBABEF,CEEFCAA,DCBABEF,FFDDDBA
128,FCABCDE,ABCDFED,ABBCEFF,FEDCABB,FEDCBAB
129,FFECAAB,DEFCAAE,DEFEBAA,AABCEFF,FCBABDF
130,ABCDEEF,FECAACD,ABBCFEF,FEDAACE,FFEDCAA
131,FFECBAA,ABBDEEF,FCABECD,FFEDBAA,BBBCDFF
132,BEFEBBA,EDBABDF,EEFEBAA,BAABDFF,EBDDFDA
133,CDCDEAE,DDADECD,EBBADEF,CFDDEAB,DADCBEE
134,CFFECBA,AABCEFF,FEBBABE,EFEDBAA,AABDEFF
135,FFECBAA,BBABDFF,FDDEBAE,FFEDBAA,AABCEFF
136,ABDFDDD,FFDBAAB,ABCEFDC,EDBABEF,CBAEFDC
137,ABDEEEE,FFECBAB,ACDFFCB,CBABDFF,EEEEDBA
138,ACEEEDD,FEBABCE,ABBDFDE,FFDAABE,BDEEFDA
139,ADEFCAE,BBBBDFF,EFFCAAB,EDCDADD,ACDBFDE
140,BAADEFF,EEEEDBA,ABCDFED,CBABEFF,FFECBAA
141,DEEADEA,BDACEED,FEFCBBB,EDCEEAA,EBACEED
142,FFDBBBA,BBBBDFF,EEFCABD,FFEDBAA,BBCDCCF
143,AADEEEE,FFDCBAB,ABCDFED,DCAACEF,DEEEEBA
144,FECCABD,ABFDDCE,AACCCFF,FEEDCAA,DCCCDBF
145,DBACDEF,FFDBABD,ABCDDEF,FEEDBAA,EEEDCAB
146,FFEDBAA,ABBCDFF,FECEBAE,FFEDBBA,BBACEFF
147,CEEDBEA,AEDBBEE,EDFEAAC,FCBCFCB,AADCDFF
148,EFEDBAA,DCAADFD,FDBDABE,FECBACE,DAADEDF
149,DBABCEF,FFECAAB,BDEFDBA,CBABDFF,FECBABE
150,AABDFED,DCEFEBA,ABDFFDB,AACCEFE,DEDEDBA
151,BFFECBA,BABCEFF,FEBBABF,EFEDCAA,AABDEFF
152,BBEDAFE,BADFECC,ABEFECC,CEFCDAC,ABFDCEC
153,CDEDFCA,BFCABEE,EFFCAAB,BCEFEAA,DFACFBD
154,ECAADFE,CCABBFF,CEEFBAC,DFFDBBA,EEECBAC
155,CFFECBA,BAACEFF,FECBABE,EFEDBAA,AABDEFF
156,FECBBCB,ABBCEFF,FFDBACB,FFECBAA,BCCDEFC
157,ABDDCFF,FFEDBAA,AABCFFE,FEBABCE,FECBBBC
158,FDDCBCB,BABBEFF,CCBBCFF,FFEDBAA,ABCEFEC
159,DEFECAA,AABCEFF,CBADFDC,FFECBAA,AABCEFF
160,ABDDEEE,FEEDBAA,BDEFDBA,BABCEEF,EEEEDBA
161,FECCBBB,ABBBDFF,EEEBABE,EEFECAA,BBACEDF
162,EEDEAAD,ABBCDFF,FFEBABB,ABDECDE,BDABFEE
163,FFEDBAA,EEFEBAA,BACFFDB,ABCDEFF,CBABCEF
164,CEDFBAD,FBACEEC,ECCAFCE,CCFDADC,AAEDDFD
165,EABDDDE,EEEABDE,AABCDFF,FFEEBAA,DABDDCF
166,FEDCABB,BDDFEBB,BAADFFD,FDBBACF,BDABCEF
167,FDAACEE,DEEEDBA,ABDFFDB,AACEEEE,FEDBAAE
168,DCBABEF,CDBDFCA,EDDCACE,ABEFCCD,FFDAABC
169,BFFDBAC,FECAADE,EEBDCAD,FFDBABE,BBABDFF
170,FDBBBCD,ABCDEFE,FECAACE,FEAACED,BBBDDCF
171,CEFECBA,AABCEFF,FECBABE,EFEDBAA,AABDEFF
172,DEEDBDA,ADBCDEF,CBDFFCA,EFFDCAA,ADBBFEE
173,FECBBBB,ABCDEFE,FDBABEE,FAACEEB,ACEECCF
174,DBBACFF,EEBDFCA,FCABFEC,AACFEDD,FFCABBC
175,AEFECBC,ADBBCEF,BBBBCFF,FFECBAA,AABDEFD
176,FEDCABB,AABCEFF,CCBADFE,FFECBAA,DEDFBAD
177,ABBCCEF,FFDBABC,BDEFDBA,DCAACEF,FFDBBBA
178,FDABCDD,EEEEDBA,CEFEBAC,ACEEDED,FEEECAA
179,BEFECBA,BBABEFF,ABBDCEF,FEEDCBA,DBBCCDF
180,EFECAAB,FFEBAAD,BDEFDBA,DCAACFF,FEBABBE
181,FEBBBCD,AABDEEF,CBABDEF,FEEDCAA,FDCBABF
182,CEFECBA,FFDAABC,BDEFDBA,BBACDFF,DBABEFF
183,BEFECBA,AABCEFF,FEBBABF,EFEDCAA,AABDEFF
184,CFFECBA,BABCEFF,FECBABE,EFEDBAA,AABDEFF
185,DFFCDCA,AACFFED,DDBAEEE,CEFDCDA,AABEEFE
186,FAACDDE,BABEFED,FFECAAB,DFBBBCC,BDFFBAC
187,BEFECBA,FEDABBD,ABCFFDB,AACECFD,BCBBCEF
188,EBFDABC,CCCACEF,BBEBADF,FEEDCAA,ABDEEDC
189,DBABCEF,EEEECBA,AACEFED,AADFEED,EFECBAD
190,DEEEBCA,BBACEEF,EABEFCC,EFECBBA,EBADDFE
191,AACEEEE,FEEDCAA,AACEFED,EBABDEF,EEEEDBA
192,DFFDCAA,ABBBDFF,FDBEDAC,DFFDBAA,ACDAEFE
193,EFDCABD,EECAADF,EEFEBAA,BAACEFF,FFCBBBB
194,ABCCFFD,EBCABFF,DEDEBAE,FEDDDBA,ADBDFCC
195,AACEDEF,FFDBABD,ABBEFDD,EECAADF,FEDDDBA
196,ACDDDEF,FFDBABC,BBBBEFF,FFEBAAC,CEDBACF
197,BDDCFDA,BBACFFE,EFEDBAA,DEFECAA,DFCACFC
198,CBFBEDB,EDAEEAC,EDABBEF,DCFDBEA,BEBADEE
199,EFCAADF,FFCAACE,EEEEBAA,DCAADFF,FDBBBDE
200,ACCFDCE,CBABFEE,CDEFDBA,CDFEABE,FBCFBCB
201,ABEBFFB,BDACDEF,EFFDBAA,CDBAEFB,ACFFACE
202,FCAABEF,EEEEDBA,AABDFFE,BAADEFF,FFECAAC
203,BEFECBA,BABCEFF,FEBBABF,EFEDBAA,AABDEFF
204,FDBBBCB,ABCEEFD,ECAADFE,DAACEFF,BCCCBDF
205,FBBEBDD,BAACDFF,DDCABFD,FFEBBAB,CEEEDAB
206,DFEDBBA,FEDAABF,DEEFBAA,CBABDEF,EDBBCCF
207,DFCBFCA,EBADECD,DBDDFBD,CEDCFCA,EDAFDBB
208,ADFEDBC,FFEBBAB,AABEFED,FFDBABC,AABDEFE
209,EFEDBAA,BABCEFF,FFEBAAB,CDFFCBA,AABCEFF
210,FCBDBCC,AABDEFF,FEBACEB,FFEBBBB,EDECBAE
211,FFECBAA,FFCAABF,CEFFBAA,AACEDEF,CAACEFF
212,ACFEEDC,BDEEECA,CAABDFF,EBAADFF,BCEEEDA
213,EFEDBAA,BABCDEF,EBADFCC,FFECAAA,AABDEFF
214,FFEDBAA,AABCEFF,DDAAFEE,FFEDBAA,AABCEFF
215,ABBCDEF,FFDBABC,ABBEFED,FECAACE,DBABCFF
216,ABFEDDD,EDBABEF,EEEEBAA,FEBAADF,CEEEDCA
217,FEBBBCD,BBDFFDA,EFDAACE,CEEDECA,EEDCAAF
218,AABEFEE,EEDDAAD,DEFEBAA,AACDEFE,EEEEBBA
219,FFEDBAA,AABDEEF,FEBEBAD,EEFECAA,BBABDFF
220,BBACFEE,FFEDBAA,BDEFDBA,AACEEEE,BBCDDBF
221,BAADFFE,ADFECCA,EDBABEF,FFECAAC,CDEFBCA
222,ABDFEED,FEBAADF,ACCFFCD,FECAACF,CEFDDBA
223,FDAABDE,DEFECBA,ABDFFDB,ABDEEEE,EEDBABF
224,ABEEEDD,EDCAADF,EFFDBAA,BAABDFF,EEEEDBA
225,FEEDAAD,AABCEFF,BBBBCFF,FFECBAA,ACFFDBC
226,AACEFEE,DEEEDAA,BAABEFF,DBABCEF,DBAAEEE
227,FFEDBAA,AABCEFF,EDBADFE,EEEECAA,AABCEFF
228,ACEFEDA,DCBACEF,BCDCADF,FFEDCAA,ABCDDEF
229,BDEFEBA,ABEFEEB,ECAACFF,EBABDFF,BCEFFCA
