,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,DDCBBA,DDDCCA,AAACCD,DDCDAA,DCBAAD,AABBDD,AAABDD,DDCBBA,BBBBAD,ABCDDC,DDCBAA,ABCDCC,BBBBAD,CCDDAA,CCCDAA,AABBDD,DBAADA,DDDCAA,DDDBDA,AAABDC,AAABCD,AABCDC,AABCDB,AAABBD,AABBCD,AABBCD,DBAABD,AABBCD,AABCDD,AABCAD
1,DDCCAA,DDCCAA,DDDBBA,DDDDAA,DDDDAA,AABCCD,AABCCD,AABDCD,ACDDCB,DDDDBA,CDDCDA,DCBBAB,DCBBDA,AABDDC,CCCDAA,AABBCD,CCCDDA,DDDAAA,BBBBAD,AAAABD,AABBDD,AAACDD,DCBBBB,AAABBD,ABCCCC,AAABBD,ABBACD,AACDCC,ABCDCA,DDDBCA
2,BBBADB,DDCCBA,DDDBBA,DDCCBA,DDDDAA,AABBBD,AAABCD,AABDCD,CDDCBA,DDCCCA,AAAADC,BAABDD,AAABCD,AABDCC,ACDDDA,DDCAAD,AABDCD,BBBBAD,BBBBAD,AABADB,ABCAAD,AABDCC,DBABCC,CBAAAD,AABCCD,AABBBD,AABCBD,BBBBAD,AABDCC,ABCCCC
3,ABDCDB,DDDCCA,DDDBAA,BBBBAD,DDCBBA,DDCBBA,DDDAAB,AACCDC,DDCCBA,DDCCBA,AACCCD,AACCCD,DDDCBA,DDCCBA,DBACDA,CDCAAD,DDDBBA,DAABBD,AABDDC,AAABDD,AABBDD,AAAACD,AABCCD,BAAACD,DDDBAA,AABBCD,AABBCD,AABBCD,AABCDD,AABCAD
4,ABDCDB,DDDCBA,DDDBAA,CDDCDA,ABDDCC,DDCBBA,ABBCDA,AACCDC,DDCCBA,DDCCBA,AAABCD,AACCCD,ABCDDA,DDCDAA,DDCBBA,DDCBAA,DCBAAD,DDCCAA,DDCAAC,AAABBD,AAABBD,ABCCDC,DDDDAB,ABBBAD,AAABCD,AAABCD,AABBCD,AABBCD,AABCDD,AABCAD
5,BBBDBB,DDCCBA,DDDBBA,DDCCBA,CDDBAA,AAABDD,AABBAD,AABDCD,CDDCBA,DDDCAA,BBBDDA,BAACDC,DBBDAB,DBACDA,AAADDD,DBBDAA,AABDCD,BBCDBB,DBAAAD,AAAADD,AAAACD,BBBADC,ABDDDA,AAABBD,AABACD,BBBBAD,AABACD,AABCCD,AABDCC,DDDCCA
6,DBAAAD,DDCBBA,DDDBBA,DCCCDA,ACDDAC,AABBCD,AAACDD,AABDCD,ACDDCA,DDCCDA,DDDCDA,DCBABB,ABCDDA,DDDBAA,DDDBAA,DDDDAA,AABCCD,CAACCC,AABDAD,ABBBAD,AAABBD,AAABDC,DCBBBB,AABBBD,BBBBAD,AABBBD,ABBACD,AACDCC,ABCDCA,DDDBCA
7,CBAACD,DDCCCA,DDDBBA,DDDDAA,DDCAAC,AABBCD,AABBCD,AABDCD,ACDCCB,DDCCBA,DDBBCA,DDBBBA,ABCDDA,CCDDAA,CCCDAA,AABBCD,AABCCD,DDDDAA,ABCDAD,AAAADD,AAAACD,AAABDD,AABDDD,AAABBD,AABBCD,AABBCD,ABCCCC,ABDDBB,ABCDCA,DDDBDA
8,ABDCDB,DDDCBA,DDDBAA,CDDCDA,ABCCCD,AABBDD,CCCCDA,AACCDC,DDCCBA,DDCCBA,AABCCD,AACCCD,AABBCD,AABCCD,AABCCD,AAABCD,AABBCD,AAAACD,DBAACD,AAACDD,AAABDD,AABDDB,DDCBBA,DBAAAD,AABBCD,AABBCD,AABACD,AABBCD,AABCDD,AABCAD
9,BAAABD,AABDCD,DDDBBA,DDCCAA,DDCCDA,AAACBD,AABCDD,AABDCD,BDDCCA,DDCCBA,DDCBAB,ABCDCC,DDCDAB,DBAAAD,AAACDD,ABCCAD,CDCAAD,CDDBDA,ACDCDA,BABCAD,CCCBDA,ABDBDC,DCACBB,AAABBD,AABBCD,AABBCD,AABBCD,AABCCD,AABCCD,BCCADA
10,ABDCDB,DDDCBA,DDDBAA,BBBBAD,DDCCBA,DBABBC,DDCAAC,AACCDC,DDCCBA,AAAADD,DDCAAC,ABCDCC,DDCCBA,DDCACA,DDDCCA,AABBAD,DDCABA,DAACBD,ACDDDA,BAAACD,AAABCD,AABCDB,AABDCD,CBBCAD,CCCCDA,AABBCD,AABBCD,AABBCD,AABCDD,AABCAD
11,DDCBDA,DDCCBA,DDDBBA,DDCCBA,BDDBBB,AABBCD,AABBCD,AABDCD,CDDCBA,DDCCBA,BAAADC,DDCDAB,CBAADD,ABCCCC,ABCDCC,BBBBAD,AABDCD,ACDADC,ABCCCC,AAAADD,ABCACD,AABDCC,DCBBDA,AABABD,AAABCD,AABBCD,AAACDD,AAACCD,AABDDC,DDDCCA
12,ABDCDB,DDDCBA,DDDBAA,CDDCDA,BBBBAD,AABBDD,AAABCD,DDDAAA,DDCCBA,DDCCBA,CCDDDA,AACDCD,AAABAD,AABCCD,AAACCD,AABBAD,AAABBD,AABDCC,AAABDC,AAACDD,AAABCD,AABCDD,DDCCAA,BAABAD,AABBCD,AABBCD,DDDDAA,AABBCD,AABCDD,AABCAD
13,BDDBDA,DDDCCA,AAACDD,DDCDAA,DCBAAD,AABBDD,AAABDD,DDCBBA,CBBBAD,ABCDCC,DDCBAA,AACDCC,ACCAAD,CCDDAA,BBCDAA,DDDAAA,AABDBD,DDDCAA,ACCADC,AAABCD,AAABCD,AAACDD,AAACDD,AAABBD,AABBCD,AABBCD,DCBABB,AABBCD,AABCDD,AABCAD
14,ACDBDC,DCCDDA,DDCBAA,DCACBB,CDDDCA,ABCCDC,AAABDD,AABCAD,DCBBAA,DDDCBA,CCDCDA,DCBBBA,AAAADD,AACDCC,AABDCC,AABBCD,DDDBAA,ABDBDC,ABBDAD,AAABAD,BCCADA,ABDBDC,CAACBD,AAABBD,AAABCD,AABBCD,ABBACD,AACDCD,ABCDDA,CBBDAD
15,ABDCDB,DDDCCA,DDDBAA,BBBBAD,DCBAAC,AABBDD,AAABCD,AACCDC,DDCCBA,BBBBAD,DDCBAC,ABCDCC,DCBACB,DDCBAC,CDDCAA,CBCDBA,DDCBBA,BAAADD,DBACDB,AABCDD,AAABCD,AABBDD,AABCCD,DCBBBB,AABBCD,AABBCD,AABBCD,AABBCD,AABCDD,AABCAD
16,ABDCDB,DDDCBA,DDDBAA,CDDCDA,DCBAAD,AABBDD,DDDDAA,AACCDC,DDCCBA,DDCCBA,AAAADD,AACCCD,AABBCD,AAABCD,AABCCD,AAACCD,AABCBD,AABBDD,BCDDCA,BAABDD,AAABCD,DDDCBA,DBAABD,AAABBD,AABBCD,DDDDAA,AABBCD,AABBCD,AABCDD,AABCAD
17,ABDCDB,DDDCBA,DDDBAA,CDDCDA,AAABDD,DDCBBA,AAABCD,DCBBBB,DDCCBA,DDCCBA,ABBBAD,AACCDD,AABBDD,DDCBBA,DDCCBA,DDDDAA,DDDDBA,DDCCCA,DDCBCA,BAADCC,AAABCD,AABBDD,AABDDC,AABBAD,AAABCD,AAABCD,DDDDAA,AABCCD,AABCCD,AABBBD
18,ABDCDB,DDDCBA,DDDBAA,CDDCDA,AAACDD,AABBDD,AAABCD,AACCDC,DDCCBA,DDCCBA,AAAABD,AACCCD,AABBBD,AABADD,AABBCD,AABCDC,AABBDD,AABADD,AABBBD,AAACDD,AAABCD,CDDDCA,DDCBAA,AAABBD,AABBCD,AABBCD,DDDAAA,AABBCD,AABCDD,AABCAD
19,ABDCDB,DDDCBA,DDDBAA,CDDCDA,DDBAAC,AABBDD,CDDDAA,AACCDC,DDCCBA,DDCCBA,ABCCCC,ABCDCC,DAADBB,BBBADB,DDDDAA,DDCCBA,DCBBBB,DCAADA,ACDCDB,AAACDD,AAABDD,AABBDD,AABCCD,AAABBD,AABBCD,DDDDAA,AABBCD,AABBCD,DCCDDA,DDCCAA
20,BDDCDA,DDDCBA,AAACCD,DDCDAA,DCBAAD,AABBDD,DDDDAA,ABCCDC,AAACBD,DDDCBA,DDCBAB,ABCDCC,DCCAAD,ABCDDB,ABCBBD,DBBDAD,BBBADD,ABCCCC,DCBDBA,AAABDD,AAABBD,AABBDD,BAADCD,DDDDAA,AABBCD,AABBCD,AABBCD,AABBCD,AABCDD,AABCAD
