,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,AAABDD,DDDDAA,AAAADD,DDDDAA,BBAACD,AAACDD,DDDDAA,DDDCAA,AAAADD,DDDDAA,AAAADD,AAAADD,AAAADD,DDDDAA,DDDBCA,DDDDBA,DDCCAA,DDDDAA,AAAADD,AAAADD,AAAADD,DDDDAA,AAAADD,BBCDDA,DDAABC
1,AAACDC,DDDDAA,DDDDAA,DDDDAA,AABDDD,CCDDAA,AAAADD,AAABBD,AAAADD,AABDAD,CCDADA,DCAADC,AAAADD,DDDDAA,DDCCAD,DCBADC,DDDBAA,DDCCBA,CCDDAA,DDDCAA,BBADDA,AADDAC,AAAADC,AAAADD,AAAADD
2,AAAADD,BBDADA,AADADC,AAAADD,AAABDD,BBDDAA,DDDDAA,DDDCAA,AAAADD,AAABDD,AAABDD,AACACD,AAAADB,DDDBAA,CCDADA,DDDDAA,DDDDAA,BAAADD,AAAADD,AAABDD,BCDDAA,DDDDBA,DDADAA,AADADD,BBDADC
3,AAABDC,BBAADD,DDDDAA,DDDAAD,AACDDA,DDDDAA,CCCAAD,AAACDD,DDDDAA,BAAADD,AAAADD,BBAACD,DDDDAA,DDDDAA,AAAADD,AAAADD,DDDDAA,BBAACD,AAACDD,DDDDAA,AAAADD,AAAADD,AABDDA,DDDAAB,AAAADD
4,AAABDD,DDDACA,DDDDAB,AAADAD,AAABDD,ABDAAD,DDDCAA,DDDCAA,AAAADD,AAABDD,AAAADD,CCDADB,AAAACD,DDDCAA,AAAADD,DDDDAA,DDDDAA,DDDCAA,AAAADD,AAABDD,ABDDDA,DDBDCA,BBAADD,AABADC,AAADDB
5,AAAADD,AAAADD,AACADD,CBAADB,BBDBAD,DDBADA,DDDDAA,DDDDAA,DDDCAA,AAABDD,AAAADD,AAAADD,AABCDA,CCDDAA,DDDDAA,DDDDAA,DDDAAB,AAABDD,AAAADD,AAAADD,CCDBAB,DDCDAB,AADADB,CCDDAA,DDDDAA
6,DDDAAD,BBAADD,DDDDAA,DDDCAA,DDDADA,CBADAD,AADADD,AAAADD,AAABCD,AAADDD,DDBDAA,DDDDAA,DDDDAA,AAACDC,DDDAAC,CCDABD,DDCDAA,DDCBAA,DDADAB,CDDAAD,AAADCC,AAAADD,AADAAD,DDDDAA,DDADAA
7,AAABDD,BBDDAB,DDACDA,DDCABD,DDDDAB,DDDAAD,CCDDCA,CCCBAD,AAAADD,DDDDAA,DDDDAA,DDDAAC,AAAADD,DDDCAA,CBBABD,AAAADD,AAABDD,DDDDAA,BBAADD,AABADD,DDDAAD,AAAADD,DDDBAC,AAABDD,AAABDB
8,AAAABD,AAABDD,AAAADD,DDDADB,BBADAB,DDDDAA,CCDDAA,DDDDAA,BBAACD,AAAADD,AAABDD,AAABDD,DDDDAA,DDDDAA,DDDCAA,DDDDAA,DDCAAC,AAAADD,AAADDB,AAADCD,ABCDBA,BCDADA,BCDDAC,DDDACA,DDCDAA
9,DDDDAA,DDBDBA,DDDDAA,DDDBAA,CCDDAD,DDDCAB,AACADD,AAAACD,AACADD,AAACDD,DDCDAA,DDDDAA,AAABDC,DDDBAC,AAACDD,DDCDAB,DDCDBA,DDDDAA,CCDDAA,DDCDAA,ABDDAB,AAADCB,AAABDD,DDBADA,AAAADD
10,AAAADD,DDDACA,DDDADA,AACADD,AACACD,BCDABA,DDDDAA,DDDBAB,AAAADD,AAAADD,AAABDD,AACDAB,AAAADD,DDDCAA,AAABDD,DDDDAA,DDDDAA,DDDCAA,AAAADD,AAAADD,CBADDA,DDDABA,DDCDAA,DDCAAB,DDCDAA
11,AAAADD,AACABD,AACACD,BBADDA,AAAADC,DDCCAD,DDDDAA,DDDDAA,DDDDAA,AAABDD,AAABDD,AAABDD,AAAACD,AABDDC,DDDDAA,DDDDAA,DDDDAA,DDDAAB,AAABDD,AAAADD,AAAADD,DDAADA,AAADDA,CDDDAA,DDDDAA
12,DDDCAA,DDAAAC,BBADDA,DDAADA,DCADAB,BBACDA,AADBAD,AAACCD,AAACDD,AAABDD,BBCDAC,DDDDAA,DDDADA,AAACCD,DDCDAA,DDDDAA,DDDCAA,DDDCAA,DDBDAD,AAAADD,BCDADA,ABDAAD,BBBDAB,DDADAA,BAAADD
13,AAAADD,AAAADD,DDDCAA,BAAADD,DDBBDA,DDDDAA,DDDDAA,AAAADD,AAAADD,AAAADD,DDDBCA,DDDDAA,AAAACD,AABACD,AAAADD,AAAADD,DDDDBA,DDDDAA,DDDDAA,AAAADD,AAAADD,AAADDD,AAABDD,AABDCC,CDDDBA
14,DDDDAA,DDDDAA,CCCADA,AAABDD,DDDADA,DDCBAB,CCADAD,AABADD,AAABDD,AAACDD,AABDAD,AAAADD,DDDCAA,AABADD,AACADC,DDDDAA,DDDCBA,DDDDAA,DDDBAA,CCDAAC,CCADAA,CCAADA,BCDADC,CCADAA,AAAADD
15,AAAADD,AABACD,AAADAD,DDDAAB,BBDADA,DDDCAA,DDCDAA,DDDAAB,AAAADD,AAAADD,AAABDD,DDDDAA,AAAADD,DDDDAA,AAAADD,DDDDAA,DDDDAA,DDDCAA,AAAADD,AAAACD,AAAADD,DDDCAB,BCDABC,CCDDDA,DDDDAA
16,CCDDBA,DDCDAA,CCDDBA,CCDAAD,BBAADD,BBAADD,AAADDC,AAAADD,AABDCD,BAADDB,DDDADB,DDDDAA,DDDBAA,AAABDD,AADADD,AAAADC,CCADDA,CCDDAA,DDDBAA,DDDAAB,CCBADD,DDAADA,ABDDAB,DDDAAB,AAAADD
17,DDDDAA,DDDCAB,AABCDB,DDDABC,CCDDAA,AAAADD,AAAACD,AAABDC,AADADD,DDCDBA,DDDDAA,DDDDAA,BAAACD,AAAADD,AADDCA,DDDDAA,DDDCAA,BBAABD,AACADD,CBAADD,CCBADA,CCADDB,DDDCDA,CBABAD,AAAADD
18,AAACCD,DDCDAA,DDDADA,AAABDD,CCBAAD,DDDCBA,DDDACB,DDDDAA,DDDAAD,BBDDAD,AAABDD,AAABDD,AAACDA,DDDDAA,DDDCAA,CCAADD,CCAAAD,AAABDD,AAAADC,AADADD,DDCDAA,BBBADB,DDAACD,BBDDAB,AADADD
