,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,ABDDE,EECBA,CBBCE,ACDEC,EDCBA,DBABE,ABCDE,DDDCA,EDCBA,EDBBB,ABCDE,EDCBA,EDCAA,ABCDE,ABCDE,BABDE,BEDCA,EDCAA,EECBA,EDDBA,EDBBA,EDDBA,EDBAB,ABCDE,ABCDE,ABCDE,EEDBA,ECABC,ABCDE,DDDCA,EBBBC,EBBDB
1,AACEE,ACEEB,DDDCA,EDCBA,EDCAA,ABDED,AACDE,DBABE,ADDDD,ABBDE,ABCDE,BABDE,ACCCE,DEDBA,ABDED,ABCDE,EEDBA,DEDBA,BACEE,BACED,EDCAA,EDCAA,ECBAC,EBABD,EDBBA,ABDEC,DABDD,AACDE,ACCBE,ABDDE,BBBDE,DEDBA
2,AACDE,ECCCA,ECAAD,ADECA,AACDE,AACDE,BABEE,EEDBA,EDCBA,EDBAA,ABBDE,ABCDE,ABCDE,AACEE,BABDE,ABCDE,EDCBA,EDBAB,BEDAB,EDCBA,EDCBA,ECBBB,ABCDE,ABCDE,ABCDE,CDEDA,EDBBA,ECCCA,ECCBA,CABDE,BCBBE,EECBA
3,ABCDE,EDCBA,ACDDD,EDCBA,CAACE,ACDDD,EDCBA,EDCBA,ABCDE,ABDDE,EECBA,DCAAE,ABCDE,ABCDE,ABCDE,EDCBA,EDCBA,EDBAB,ABCDE,ABCDE,EDCBA,EDBAC,ABCDE,ADEDA,EDCBA,ABCDE,ABCDE,ABCDE,EDDBA,EBABD,ABCDE,ECCCA
4,ABCDE,EEDBA,EECAA,DABDC,ABBCE,AACEE,ACDDD,DDDBA,EDCBA,EDCBA,AABDE,ABCDE,ABCDE,ABDDE,CACEC,ABCDE,EDCBA,EEBAC,CDEDA,EDCBA,EDCBA,EDCBA,BABDE,ABCDE,ABCDE,ADDCC,EDBAB,ECBCA,ADEDA,ABDEC,ABDEE,EDCBA
5,ABCDE,ABCDE,ABBCE,ABCDE,ACDEC,BEDBA,EECAA,EDBAB,EDCBA,EDCBA,EDCBA,DABCE,ABCDE,ABCDE,ABCDE,ABCDE,ECBBB,EDCBA,EDCBA,EDCBA,EDBAB,ABCDE,AABDE,ABCDE,ABCEE,CEDBA,ECBBB,ABCDE,ADDBD,EECAA,EDCBA,ECBBB
6,EECAB,EDBAC,BBDEB,EDCBA,EDBBB,DDBAC,ADCCE,AACDE,ABCDE,ABCDE,ABCDE,BABDE,ACDDC,ECCCA,EDCBA,EDDBA,ABBDE,EDCBA,ABCDE,DABDE,EDCBA,EDCBA,DBDDA,ECCCA,EBABE,ABDED,EBBBC,ABCDE,ABDEB,EEBAB,EBCCA,ABDEB
7,ABCDE,BADEB,DEDBA,DDDBA,BABDE,EDCBA,CDDCA,ABCDE,EDCBA,CBBBE,ABCDE,DDDCA,EDCBA,EDCBA,DAACE,ABCDE,DEDBA,EDCBA,ABCDE,ABCDE,ABCDE,EDCBA,EDCAA,ACDDE,AACEE,EDBAB,ABCDE,DEDBA,BABDE,ABDED,BABDE,EECAA
8,ABCDE,BBBDE,AACEE,ACCCE,DACEC,BBDEA,DEDBA,EBABE,EDCBA,EDCBA,DBABE,ABCDE,ABCDE,ABCDE,ABCDE,DEDCA,EDCBA,EDCBA,EDCBA,EDCBA,ECBAC,ABCDE,ABCDE,DDBAD,ADDCD,ACEDB,ACEEB,DBABE,CABDE,ECCCA,EDDCA,EDCAA
9,DEDBA,ECBBB,EDBAB,EDCAA,EDCBA,DEDBA,EDCBA,ACCCE,ABCDE,ABBDE,ACCCE,CBBBE,ACDEC,EDDBA,EDBAB,ABCDE,EDCBA,ABCDE,ABCDE,EDBAC,EDCBA,EDCBA,EDBAB,ECBBB,DECAA,AEECA,AACDE,BBBCE,ABBDE,CCDDA,ABCDE,ABDEC
10,AACDE,EECBA,EECAA,DEDBA,BACEE,ACDDD,ABDEB,EECBA,EDCBA,ECBBC,ABCDE,ABCDE,ABCDE,ABCDE,DECAB,ABCDE,EECBA,BABDE,CDDCA,EDCBA,EDCBA,EDCBA,ABBDE,ABCDE,ABCDE,BACEC,EDDBA,ECCCA,EDBAA,ECBBB,EDCBA,EDCBA
11,ABCDE,ABDED,ABCDE,ABDED,BEECA,BABDE,EDCBA,ACDDC,EDBBA,EDCBA,EDCBA,BABDE,ABCDE,ABCDE,ABDDE,ABCDE,ABCDE,EDCBA,EDCBA,EDCBA,EDCBA,EDCBA,ABBDE,ABCDE,ABCDE,ABCDE,EDBAB,DAACE,EECAA,EDCBA,DEDBA,EDCBA
12,EDCBA,EDCAA,ABDED,DCABE,BCEEA,DBCDB,ECAAD,ECABE,AACED,ABCDE,ABCEE,BABDE,ABCDE,EBBCB,EDCAA,EDBAD,ABCDE,BEECA,EDCBA,EDCBA,EDCBA,EECBA,EDBBA,BABDE,ABCDE,BDCBE,ACDEB,DECAB,EBBBC,DEDAA,BABDE,ABDDD
13,ABCDE,ABCDE,ADEDB,EDDBA,ABDDE,EBBCC,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,ABCDE,DEDBA,DEDBA,EDCBA,BABDE,ACDDD,ABCDE,ABDEE,ABCDE,EEDBA,EDCBA,EDCBA,EDCBA,ABCDE,ABCDE,ACCDE,AACDE,ABCDE,BEDBC,DEDCA,EDCBA
14,EDCBA,EDBBA,ECCCA,CDBBE,ABDDD,ECBAD,ADDCC,DDDCA,EBCDA,AACDE,ABDDE,ABCDE,ABCDE,CABDE,ABCDE,EDCBA,CABDE,ABBDE,ADDCE,EDCBA,EDCAA,EDCBA,EECAA,DDDCA,ECABC,CBDEA,CDBAD,DABCE,ADEDA,CEDAB,ABCDE,ABDDE
15,ABCDE,AACEE,ABCEE,DABEC,EBABD,BCBCE,EDCBA,EDCBA,EDCBA,EBBBC,ABCDE,ABCDE,ABCDE,ABCDE,EECAA,ABCDE,EDCBA,AACDE,ACEDB,EDCBA,EDCBA,EDCBA,EABDD,ABCDE,ABCDE,AACDE,DDDCA,ABCDE,ABCDE,EDDCA,EEDBA,EDCBA
16,CDEDA,ECBBB,CABCE,EDBAD,DBABE,CBABE,EDBAC,EECBA,ECAAD,AACEE,ACDDD,CCBBE,CACED,ADDDD,EDCBA,EECAA,ABBDE,AACDE,ACEDB,ABDEC,CACED,ABDED,CABDD,EDBAB,EBABD,DCABE,EDCAA,EDBAC,CABCE,EBACD,ABCDE,ABCDE
