,0
0,DCBCBAA DBAAACD AABCCDD DDDCBAA DDCAAAB AABCDDD DDDCBAA DCBBBAA AABBCDD AABCCDD AABCDDB DCABBBB AABCCDD AABBCDD DDCBBAA CAABCDD BCDDCAA DDCBAAA DDCCBAA BAAACDD BDDCBAA DDCCBAA DDCCBAA AABCDDD DDCAAAB AABCCDD CBDCABC AAACCDD AABCCCD AAABCDD
1,AADDDCC DDCBAAA AABCCDD ACCDCBA DDCBBAA DDDCBAA BAABCDD AABCDDD DDCCBAA AABCCDD AABBCDD ABCDDCA DDBBBBB DDCBAAB AABCDDD DDCCBAA AABBCDD DDCBBAA DDCBBAA DDCAABA BAACDDC DDCCAAA CCCBAAD BCDDBAA DCAABBC ADDDBAA AABCCDD AABBCDD AABCDDD AABBBDD
2,BDDCBAA DDCBAAA DDDCBAA DDDCCAA DDCCBAA DDCBAAB AABBCDD DDDCBAA DDBBAAB AABCCDD AABBCDD AABCCDD AABCCDD ABCDDCA DDCBBAA AAABCDD ACDDCAA DDBBAAB DDDCBAA CBBAACD ACDDCBB DDCCBAA DDCCBAA DDCBBAA BAABCDD AABBCDD ABDBBCD AABBCDD AABBCDD AABBCDD
3,DDBBABC AABBCDD AABCCDD AABCDDD DDBABBA DDCCBAA AABBCDD ABCDDBA DDCBAAA AABCCDD AABBCDD DDCAAAB AABCDDC AABBBDD ABDDCBA DDCBBAA AABBCDD AACDCCC BABBBCD DDDCBAA CAAABCD AACDDCB DDCCBAA CAABDDC CBAABDD AABCCDD AABBCDD AABBCDD AABCCDD AABBCDD
4,DDCCBBA DBAAACD AABCCDD BCDDDBA DBAAACD AABBCDD DDCCBAA DBAABCD AABBCDD AABCCDD DDDCBAA AABCCDD AABCCDD AABCDDB DDCBBAA AABCCDD CDDCBAA DDBBAAA DDDCBAA BBAABDD ACDDCBA DDCBBAA DDCCBAA AABCDDD DCBAABC ADDCBBA DDDCAAA DDCBAAA DDCBBAA DCBAABD
5,DBCBAAB AABCCDD AABBCDD ABBBBCD AACCCDD DDDCBAA DDBAAAC AABBCDD AABCDDC DDDBAAA DCCBAAA CCCCCBA DBBBBBB CCBAABD AABCDDD ABCDDCB DDCCBAA DDBBAAB AABCDDD DDCCBAA DDCBBAA DDCCBAA DDCCBAA AAABCDD AABCDDD AACDCCC BBBAACD CAABCDD CBAABDD AAABCDD
6,AACDDCC DDCBAAA DDCAABB BBAABDD DDCBBAA DDDCBAA DBAABCD AABBCDD DDCBBAA AABCCDD DDCCBAA ABCCCDD DDCCCBA DDCBBAA AAABCDD AABCCDD AAABDDD AABBCDD AABBCDD BCDDCBA DDCBAAA AACCCDD CCCCCAA DDCCBAA DDCBAAA DCBAAAD AABDDBB BCCDDAA CCCCCBA DDDCAAA
7,DDCBBAA BAABCDD AABCCDD ABCDCCB DDDCBAA DDCCBAA AABBCDD CDDCBAA DDCAAAB AABCDDD AABBCDD DDDBAAA AABCCDD AABBCDD BCDDCAA DDCCBAA AAABCDD AABCDDD DDCBBAA DDCCBAA BAABBDD DDDCBAA BBBABDD DDCBAAA BAABCDD ACDDBBA AABBCCD AABCCDD AABCCDD BBAABCD
8,DDCCCAA DDCBBAA DDCCBAA DDCCBAA DDCBBAA AABBCDD DDDCBAA DDCBAAA BAAACDD AABCCDD AABCCDD DDCBAAA AABCCDD AABBCDD DDCBAAA AAABCDD ABCDDCB DDCBAAA DDCCBAA DDCCBAA AABBCDD DDCBBAA DDCCBAA DBADDBA AAABCDD AABCCDD AABBCDD AABBCDD AABBCDD AABBCDD
9,DDDCBAA DCBAAAB AABCCDD AABCDDD CBABCDA DDDCBAA CAABCDD DDDCBAA AAABCDD AABCCDD ABCDDDA AABCCDD AABBCDD AABDDDA DDCBAAA DDBAABD AABBCDD DDCBBAA DDCCBAA DDCCBAA AABBCDD DDCCBAA CBACDCA AABCDDD DDCBAAA AABCCDD AABBCDD AABCCDD AABCCDD AAABCDD
10,DCBBDBA AAABCDD AABBCDD AABCDDC DDCCBAA AAABCDD AABCDDD DDCBBAA DDDCBAA DDBBBAA DDCBAAB AABBCDD ABCDDCA DDCBBAA AAABCDD CDDCBAA CBAABDD AACCDDD AABBCDD CDDCCAA DBABCCB DDBBABA DDCCBAA DDCBAAA AABCDDD AACDCDC ABCCBCD DDDAABB AACDDBB AAABCDD
11,DDCBBAA DDCBBAA DDCBBAA DDCCBAA DDCCBAA CBAABCD AABCCDD BDDCBAA DDCCBAA DDBAABC AABBCDD AABCCDD AABCDCD AABCDDC DDCBBAA CBAABCD AABCCDD BDDCBAA ABCCDDA DDDCBAA DDCBBAA AABCDDD DDCCBAA DCBAACD CDDCBAA DDCBAAA ACCBBCD AABBCDD ABBBBCD AAABCDD
12,CDDCBAA DDCBAAA ABCDDBA DDDCBAA DDCCBAA DDCCBAA AABBCDD AABCDDD DDDCBAA DDCBAAA AABBCDD AABCCDD AABCDDD AABBCDD ABDDDBA DCAAACD ACDDCBA DDCBAAA DDDCBAA DDCCBAA CBBAACD AACDDDC DDCCBAA AAABCDD DDDCBAA DAABCCD DDAABCB CCBABCD AABBCDD AAABCDD
