,0,1,2,3,4,5,6,7,8,9,10,11
0,ACDDCAA,ABDDCBA,AAACDDD,DDCCBAA,ABDDDCB,AABCCDD,AABDDCC,DDDCBAA,DDCCCAA,AABCCDD,CCDDCAA,AABCDDC
1,BCDCDBA,DDCBBAA,ABCCDCB,AACCCDD,AACCCDD,DDDBAAA,AACDDCB,BAADCCD,DDCCBAA,DDCCCAA,CDDABBB,AABBCDD
2,AACDCCC,ABCBACD,AACCDDB,DDCBBAA,AABCCDD,AABCDDD,CDDCBAA,DDDCCAA,DDCAAAB,AABCCDD,DDCCBAA,DCBABBC
3,ABCBABD,DDCBAAB,CDDCBAA,AAABCDD,DCBAABD,AABCCDD,DDCBAAA,AABCCDD,DDCBAAB,CDDDCAA,AABBCDD,DDDCAAA
4,AACDDCC,CBAABCD,AABCDDD,DDCCBAA,AABCCDD,AACCDDD,AACDCBB,CCDDCAA,DDCCBAA,AABCCDD,DDDBAAA,AABBCDD
5,AABCCDD,AABCCDD,BBBDBCC,DDDCBAA,DCBAABC,AABCCDD,CDDBBAA,DDCCBAA,BAABCDD,AABCCDD,DDCCBAA,BCDCDBA
6,CCCBABD,DDCBBAA,CBBBBCD,AABBCDD,AABCCDD,DDCCBAA,CBAABDD,CAACDCD,DDCCBAA,DDCCBAB,ACCBABD,BCCDCAA
7,AACCDCC,DDDCAAB,DCACCAB,DDDBAAB,ABCDDCB,DDCBAAA,ABCDDBA,AAABCDD,CDDDCAA,AABBCDD,BAABCDD,BAABCDD
8,AAABCDD,AACDCCC,CDCCCAA,DDDBBAA,AAACCDD,AABCCDD,DDCBAAA,DDCCBAA,BAABCDD,ABBBCDD,BDBACCC,CDBDCAA
9,DDDBAAA,DDCBBAA,DCBDCAA,AABCCDD,AABCCDD,DDDCBAA,CDDCBAA,ABCDDCB,DDCBBAA,DDCCBAA,ABABDDC,AABCDDC
10,AACDCCC,DDDAAAB,AABCDCC,DDCBBAA,AABCCDD,AACCDDD,AACDDCB,CDDDCAA,DDCCBAA,AABCCDD,DDDCBAA,DDCCAAA
11,AABCDDD,AABCCDC,BCDDBAB,DDCCBAA,DCAAACD,AABCDDD,AAACDDD,DDCCBAA,DDCBAAA,AABBCDD,AACDCCC,BDDCCBA
12,DDCCAAA,ABBCCDC,DDCBACA,AAABBDD,AABCCDD,DDCCBAA,AAABCDD,DDCCBAA,DDCCBAA,AAABCDD,BBBACBD,CDCCBBA
13,AABCDDD,DDCAABC,DDDCBAA,DDBAABC,AABCCDD,DDDCBAA,AAACDDD,AABCCDD,DDDCBAA,DDBAABC,AABCDDD,AABCDDD
14,DDDBBAA,BABABDD,DBCBBBB,BBBBCDD,AABCCDD,ABABBDD,DDBAABC,ACDDDBA,DDDCBAA,DDCBBAA,CDCBACB,DCDCBBA
15,AABBCDD,CDCDCAA,DDDCBAA,DDCBBAA,AABCCDD,AACCDCC,ABDDCAA,CDDDBAA,DDCBBAA,AABCCDD,ABDDDBB,BBBCDDA
16,DDCBBAA,DDBABAC,AACCBCD,ABBBCDD,ABBCCDC,DCDDBAA,DBAABDD,BBDCACC,CDDBCBA,DDCCBAA,DCDDAAA,CDBDCAB
17,DDCBAAA,ADDCBAB,CDAAACD,AABCDDD,ABCDDCA,DDCCBAA,AAABCDD,CDDCBAA,DDCBAAB,AAACCCD,DDDBABB,DDCBAAC
18,BDDDBBA,DBCAACD,BABDDCA,DCDCBAA,CAACDBC,AABCCDD,DDDCBAA,DDCBAAB,AAABCDD,AACCDCD,DDCBAAA,DBDCCBA
19,ACCBBBD,CCCCCBA,DCBBCBA,AABBCCD,AABCCDD,AABCCDD,DCBAABB,AABDCDC,DDCCBAA,DDCAAAA,CDCAACC,ACDADCC
20,AABCDCB,AABCDDC,DDCAABC,CDDBBBA,DDDBBAA,AABCCDD,AABCDDC,DDCCBAA,CBAABDD,AACCDCB,ABBBCCD,DDCBAAA
21,DDCBAAA,AABCDDD,ABABDDC,CCDCDBA,DDCCBAA,DBAABDD,AABCDDC,DDCCBAA,AABCCDD,AABCDDD,DCBBACA,DDCBCBA
22,CBAABDD,DCAAACD,DCBAABD,DDCAABB,CDDCAAA,BCDDBAA,AABCBCD,CDAABDC,BABDDBA,CBBCDBA,AAACDDD,AACCDBC
23,ABDDCCA,DDDBAAB,ACDDCAB,CBBAACD,BDDCBAA,DDCAAAC,DDCBAAB,AABCCDD,DDCBAAA,AACDDDC,DDDCAAB,ACDBABD
