,0,1,2,3,4,5,6,7,8,9
0,AAABC,CBAAB,CCBAA,ABCBB,AAACC,CBBBA,BBBAC,AABCC,AABCC,CBAAA
1,CCBBA,CBAAA,ABBCC,CCBAA,CBBAB,BABCC,BAABC,AACCC,AAACC,ABBCC
2,CCCBA,CCBAA,AABCC,BBBBC,ACBBB,BBABC,ABBCB,AABCB,AAACC,AABBC
3,CCCBA,AACBB,CAABB,AAACC,CCBAA,CCBBA,AABCC,AACCC,CCCBA,AABCC
4,CCCBA,AABCB,ACABB,BAABC,ABCBB,CCBAA,CBAAC,AABCC,BBBBA,AABCC
5,CCCBA,CCCAA,AACCC,BBBCA,CCBBA,ABCBB,ABBBC,ABBCB,AAACC,ABCCC
6,CCBBA,CCAAA,AABCC,CCBAA,ABCCB,CBBAA,ABBBC,AABCC,AABBC,ABBCC
7,CCCBA,CBAAB,AABCC,CCCAA,CACBA,BABCC,CACCA,AAACC,AAACC,AACCC
8,CCCBA,AABCC,CCAAA,AAABC,AABCC,AABCC,ABBBC,ABCCA,BAABC,CCCAA
9,AACCC,CCCAA,ABCCC,CCBAA,CBABB,ABBCB,BBBBB,CCBAA,AABCC,AABCC
10,CCCBA,AACBB,BABCC,AABCC,CCBAA,CBABA,CBBBB,AACCC,BBBCA,AABCC
11,CCCBA,BBCAA,AABCC,BBBAB,BABBC,ABBCB,AACCB,AABCC,AABCC,AACCC
12,CCCBA,AAABC,CCCAA,CBBAB,ABBCC,AABCC,AABBC,AABCC,BAABC,CCBAA
13,AAABC,CBAAC,CCBAA,ABCCB,AABCC,CBCAA,AABBC,AABCC,AABCC,CCAAA
14,CCCBA,CBAAC,ABBCB,CCBBA,AABCC,ABCCA,ABBBC,AABCC,AABCC,ABBCC
15,CCCBA,AACCC,CABBB,AABCC,CBAAA,CBBAA,ACBBB,AABCC,CBAAB,AABCC
16,CCCBA,AABCC,CCAAA,BAAAC,AABCC,AABCC,ABCCC,CCCBA,AABCC,CABBB
17,CCCBA,BAACC,BBCAA,BBAAC,ABCCB,CBBAA,CCBAA,AABCC,AABBC,CCBAA
18,CCCBA,AAACC,CCBAA,BBAAC,AABCC,AABCC,AABCC,BBCCA,AABCC,CCAAA
19,CCCBA,AACCC,CCAAA,AAACC,CBAAB,CCBBA,BBABC,AABCC,AABCC,CABBB
20,AAABC,CBAAB,CCAAA,ACCBA,BBABC,BCAAB,CCBAA,AABCC,CCAAA,AABCC
21,CCCBA,AACCC,CBABB,AACCC,CCAAB,CBBAA,CBBAB,AABCC,CCCBA,AABCC
