,0,1,2,3,4,5,6,7
0,BDEDCBAACFF,EDCBAABDEFF,FFEDBAAACEE,FECAAABCDEF,AACFFEDDCCB,FFEEDDCCBAA,AAABCDEEFFF,FDBAABCEFFE
1,EEEEEEDDBAA,DDAABEEEFED,AABBBCCDEFF,DEEEFEECAAA,ABEFFEDCBAC,EEEEEDDCAAA,FFEEECBAABA,ABBBCCCCEFF
2,AACEEDECEDE,AABCCDEEFFE,FFEDCBAABBD,AABCDDEEEEE,EFFEDBBBBBA,FFFEECBAAAB,AABCCEEEFEE,FFEDCCBABBB
3,ABCBAAEFFED,CAADFFFEDBA,AAABDEEEEEE,AABBCDEEEFF,FFEDCBBABBD,DEFFEDBBAAC,EFFFEDBAAAB,BCDEFFFDBAA
4,ABDFFEEDCBB,AAABCDEEFFF,FFFEDBBAABC,AABCDEEEEEE,ABEFEDCCCCC,FFEEEDCBAAA,AAABCDEEFFE,EDCAAACBEFF
5,AAABCDEEEEF,BAEBDCDFCED,FFFEDCCBAAA,AABBCDDEEFF,EFFEDDCCBAA,FFECBAABCEE,AAABBCEFFEF,CCABEDEEFCA
6,EDCDABEFECA,FFDCBBBBBCC,AAABBCDEFFF,ACDFFFEDCBA,DCAAAFFEDDD,EEEEEEDCAAA,FEEECABABDC,AAACEEFFEDC
7,ABDEFFEDBBB,FACFFCBDDBC,CCCBBABCEFF,FFFEDCCBAAA,BDEFFECBAAC,ABCDEFFFDBA,AABBDEFFDBE,BCDDCAACEFF
8,AAABBDEEFFF,FEEEDECDBAA,FFFEDCBBAAB,AABCCDEEEFF,FFFDCCBBBAA,EEDCAAABCEF,ABBACDDEFFE,EDECEDBFCAA
9,FFFECCBBBBA,FFEDDCBDBAA,AAABCCDEFFF,CDEEEEEDBAA,CEFDBAACDEF,FFEEEDCBAAA,FFFEDDAABBA,ABBABCDFFFE
10,AAEFFEEDCBB,AAABCDDEFEE,FFECBAAACDE,AABCDEEEEEE,AADFFDCCDDD,FFEEEDCBAAA,AABBCDEEFFE,FFEEDDCBAAA
11,AABCDDDEFFF,EFFDBDEDAAB,FFEEEDCBAAA,AABCDDEEEEF,AAACEFEEEEE,FFEEEDCBAAA,AAABCDEEEFF,DCDBDFFDDBA
12,FEECAAACDFD,FEFDCECBACA,AAABBCDEFFF,ABCEFFEEDBA,AAAADEFFEDD,FFEEEDCCAAA,AAABBCDEFFF,EEEEDECCAAA
13,AABCDEEEEEE,DDEEEEEDBAA,EDBAAACDEFF,BDFFEEEDBAA,AAABDDDEEFF,EEEEEEDCBAA,FDBAAABCEFF,AAABBCDEFFF
14,FFFECCBBBBA,AACDEDEEEDD,BBBBBBCDFFF,AABBCDDEEFF,FEBAAACDEEE,FEEEEDDCBAA,FFEDCBBCBCA,CBEBFDFDBBA
15,AABBCCDEFFF,DCBDFFFECAA,FFECBAABBDE,AABCDEEEEEE,BDFFECABBBB,FFFEEDCBAAA,AAABCCDEFFF,ECABDBCEFFA
16,FFFDCCBBDBA,BAACCBEECFF,AABBBCDEFFF,CDEDFDEECAA,DBAAACDEFFF,DDEEDEDCDBA,FFEDDAACABD,FEFDCCBDCAB
17,FFFDBAABBCB,DBBDFFBAAEF,AAACDDEEFFF,FFEEEDCCBAA,AAABBCDEFFF,FFFEDCBBAAB,AABBBBDFFFE,EDEEEEDBAAD
18,EFFFEDBBAAA,ABFECBDFEDB,FFFEDCBBAAA,AAABBCDEFFF,FFFEDCBBAAA,BABBBBBDEFF,AACCEDFFEDC,FEFECBDBCAA
19,ABCBBBCEFEF,FFFDDCBBCBA,ABBBBBDDEFF,AABBCDDEEFF,FEBBABBCDDE,EEEEEEDCBAA,FFEBAAACDEB,AABBCEEDFFE
20,BBBCDCBBCFF,FFFEDCBAABB,EFFEDDBABBA,CBAABCDEFFF,AABDFFEEDCB,FEEDCBAABEE,AACDFECBDFE,EEFFEDCBAAA
21,FFECBAABCDF,ABBADDDEFFE,EEEEFDCCCAA,FFEDCAABBCC,ABCEFFEDCBA,BBAAABDEFFF,AABCDEEFEEE,EFFEEDCBBAA
