,0,1,2,3,4,5
0,CCAFC,AEFDB,BFBCE,BFDCA,EDABF,EEACE
1,EEEBA,ADBDF,BEFEA,BFCBC,FECBA,BBBDF
2,ADDDE,EEEBA,ACDEE,FECBA,CABEF,FECBB
3,CBFEA,FDAAE,BACEF,FBACE,DBDFB,ACFFB
4,AFEBD,EEECA,ACEEE,CFCDA,EBACF,FDABD
5,ABDEF,EEECA,BACEF,FEDBA,ABCEF,FCBDB
6,EDFCA,BBCEF,ADEED,BBEDE,FDCBA,BADFE
7,CFECA,DCDDA,EFDBA,CEBBF,FFBBB,ACEBF
8,ABDEE,FEDBA,ABDEF,FDCBA,ABDEF,DCEDA
9,FECBA,BCBDF,BDFEA,DBBEE,FECBA,BBBEF
10,BFEBB,EEEBA,ACEEE,BFDDB,DBADF,FECBA
11,ACDEE,EEECA,BACEF,ADEEC,FBACE,BDDFB
12,EABEE,CBBCF,ACEED,ADFDB,FEBAC,EEEDA
13,ADEEE,FECAA,ADEEC,ACDEF,FEDAA,ACCEF
14,FDBBD,ECBBE,ACDEF,EADED,FECBA,EBEDB
15,ABEFE,FEDBA,ABDEE,EFCCA,FBACF,BDCDE
16,FDCBB,ABDEF,ADEEB,BADEE,FEDBA,FECBA
17,FCBCB,BACEF,EEECA,ABEFE,FABDE,FCDBA
18,FFCAB,EFDCA,BBBEF,FECBA,ABDEF,FDCBB
19,BBEED,FEBAD,ABDEF,EABDE,FEDBA,BACEF
20,BBBEF,DADFC,FBACE,BFECA,BADEF,DEFBA
21,EAADF,ACDFD,FECAB,CFECA,ACDEE,EEEBA
22,CBFBE,EAFDB,FCCDA,ABEEF,DFCBB,ABDEE
23,EFECA,DEDAD,FEDBA,DABEF,FCACC,EABEE
24,BEFCA,DBACF,BEEDA,BABEF,FECBA,ABCEF
25,CFECA,ECABF,AEFDA,BABEF,FEDBA,ABCEF
26,EFDBA,FEDBA,ACEEE,FDACC,CACEF,BABEF
27,FECBA,CABDF,ACEDE,CACEF,FEDBA,BACEF
28,FBCDB,EDCDA,BBDFC,BACEF,EFDBA,BACFE
29,ABCFF,DDDEA,FBACE,DFDBA,ACFED,DABDF
30,EFEBA,EBACF,AEFCC,EBAEF,FEDBA,ABCDF
31,CEEDA,EDACF,FDBDB,ADECE,FEDAA,EDADE
32,FBACD,FFCBA,BACEF,EBADF,DFECA,ABDFE
33,CDBFB,CEAED,AFDBD,ABDEF,EEECA,EBADE
34,FBBBF,BAEEE,FEBAC,DFECA,ABEEE,EEEBA
35,FBBCD,DABDF,ABCEF,FACEC,FEDAA,EEBCB
36,ABBEF,EDEBA,ABDEF,FECBA,ABDFE,EEECA
37,CADEE,ACEED,FEBAB,DFDBA,ABEEE,BAEED
38,FECBA,ADCFE,FECBA,AFEBB,CADFE,BBBDF
39,DFDCA,DBBBF,FDBDA,ABEFD,CDBBF,BBCCF
40,ACEBF,CACFD,CAEDE,ACEED,FDACE,CADCF
41,CABEF,CBBEF,FDEBA,CABEF,FEBAC,DCDFA
