,0,1,2,3,4
0,CBDCA,DCABC,ABCDC,DCBAC,DCBDA
1,DDCAA,AABDD,BACDB,DDBAA,AABCD
2,ABBBD,DCAAC,BCDBA,CBACD,DCBAA
3,BBDAC,BACDC,DDCAA,CCADB,ACDBB
4,ACBBD,DDAAB,ABCDC,DCAAD,DBABC
5,ABCDD,DDBAA,ACDCA,BABCD,DCCCA
6,DCDAA,ABCDD,DCABB,DDBAA,AADDB
7,CDCAA,ABADD,DACCA,CDCAA,ACBDD
8,ABCDC,DDBAB,CDDAA,BABDD,CCCCA
9,DCBAA,AABDD,CBCAC,DDBAA,AABCD
10,BDBAC,DCABD,AACDD,DCABD,DCBAA
11,ABCDC,DDBAA,AABDD,DCAAC,CCDCA
12,CABDC,AABDD,DBACC,DDBAB,DDCBA
13,ACCCC,DAACD,BAACD,DDCAA,ABCDD
14,DBABD,AABCD,BDBAC,DDCAA,CBCBC
15,ABDCD,DCAAD,ABDCC,DCAAC,CCCDA
16,DBBAB,AABDD,DCAAC,DDCBA,DCBAB
17,DABBB,ABCDD,DBABD,DBABB,CBBAD
18,DCBAA,DDBAA,BCDBA,AABDD,DBAAC
19,BBDCA,BABCD,CDBAB,DDCAA,AACDC
20,AABDC,BDCBA,ABCDD,CABCD,CDCAA
21,CABDD,CDCCA,AACDC,AACDD,DDCBA
22,BCCCC,BDADB,CBABD,DCCAA,ABCDC
23,DDCAB,BAADD,DBCAD,DCAAB,CACCC
24,CDDBA,AABDD,DCAAC,DDCAA,AACDD
25,CDCBA,AABDD,DCBAC,DDCAA,AACDD
26,DDCAA,BAACD,DCDAA,DBABC,AABDD
27,DCCBA,AABDD,CDAAC,DDCBA,AABDD
28,DBCCA,DDCBA,DCAAC,ADDBA,BBDDA
29,AACDD,DDCBA,ABDDB,AADDC,BABCD
30,DDCAA,AABDD,DCDAB,DDCAA,AABCD
31,BCCAC,BADCB,AABDD,DDCAA,CAACD
32,DABCB,DCBAA,CDCAA,ADDCA,ABCCC
33,BBDBC,BBDAC,BCACD,CCCCA,CABCC
34,CAACD,CCCCA,ABCDC,AACDD,DDBAA
35,DABBD,AACCD,ADCAC,DDCAA,DCBBB
36,ABBDD,DDBAB,BDDBA,BABDD,DDCAA
37,BACCD,CDDBA,AADDB,AACDD,BCDCA
38,DCBAA,CCCCA,BABDC,CBADC,AABDD
39,CDCAA,AACDC,DCABC,DCAAC,ABADD
40,ADBDA,BDDAA,AABDD,DCAAC,ABBDC
