,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,CCBAA,CCBBA,AABCC,AABCC,CCBAA,CCAAB,AABCC,AABCC,CCCBA,CBBAA,CCBAA,AABCC,CCBBA,CAABC,ACCBB,BAACC,ABBCC,AABCC,CBAAB,AABCC,CAABC,CBBBA,ACBAB,BBAAC,AACCB,AABCC,AABCC,CAABB,BCBAC,AABCC,AABCC,AABCC,CCBAA,AABCC,AABCC,AABCC,AABBC,ABBBC
1,CBBBA,CCBAA,CCBAA,CCBAA,CCBAA,CCCBA,AABCC,AAABC,AABCC,ABCBC,ABCCB,CCBAA,CBAAA,CCBAA,CCAAB,CAABB,AABCC,CCBAA,CBAAB,AABCC,AABCC,ACCCA,AAACC,AABCC,AABCC,AABCC,AABBC,CCBBA,AAABC,AABCC,ABCCC,ABBBC,AABCC,AABCC,ACCBC,AACCB,CCBAA,CBBBA
2,BAABC,CCBAA,CCBAA,CCBAA,CCBAA,CBCBA,ABBCC,AABCC,AABBC,ABCBC,BCCBA,CCBAA,CBBAA,ACCBA,AABCC,AABCC,AABCC,CCAAC,CCAAC,CAAAC,AABCC,CABCA,ACCAA,AACCA,AACCB,ACBBB,BAABC,CCCBA,AAABC,AABBC,AABCC,ABBCC,AABCC,AABCC,AAABC,AABCB,CAACC,CBBBA
3,ABCCC,CCBAA,CCBAA,CCBAA,AAABC,CCBAA,CCBAA,AAABC,AABCC,ABCCC,CCBAA,CCBAA,AAABC,AABCC,ABCCC,CCBAA,CCBAA,CCBAA,CCCBA,CAABC,CCBAA,CCBAB,ABBBC,BBAAC,AABCC,AABCC,ABBBC,AABCC,AABCC,AABCC,CCBAA,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
4,ABCCC,CCBAA,CCBAA,CCBAA,CCBBA,ABCCB,CCBAA,AAABC,CCBAA,ABCCC,CCBAA,CCBAA,CCAAB,AABCC,ABBCC,AACCB,CCBAA,CCBAA,CCBAA,CCBAA,CCAAB,CCBAA,CCBAA,AAABC,AABCC,AABCC,AABCC,CBABA,CAABC,AAABC,AABCC,CBAAA,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
5,BACCA,CCBAA,CCBAA,CCBAA,CCBAA,BCCAA,AABCC,AABBC,AABCC,ABCBC,BCCBA,CCBAA,CBBBA,CCBAA,ABCCB,CABCA,BCBAB,CBAAA,BAABC,ACCAA,AABCC,AAABC,AACCA,AABCC,AABCC,AAABC,CBBBA,CCAAB,CCBAA,AABCC,AABBC,ABBBC,ABCCC,AABCC,ABBCC,AABCB,CCBAA,CBBBA
6,CBAAA,CCBAA,CCBAA,CCBAA,CCCBA,ACCBA,AABCC,AABCC,AABCC,ABCCC,ACCBB,CCBAA,CCBAA,CCBAA,CAABC,AABCC,BBCBA,AABCC,CBAAB,CCBAA,AABCC,CCAAC,AAACC,BAACC,AAABC,AAACC,ABBCC,CBBBA,BBAAC,AABCC,AABCC,AABCC,AABCC,AABCC,ACCBC,AACCB,CCBAA,CBBBA
7,CAAAC,CCBAA,CCBAA,CCBAA,CCBAA,CCBAA,AABCC,AAABC,AABCC,ABCBC,ACCBB,CCBAA,CCBAA,CCBAA,CCBAA,AABCC,AABCC,AABCC,CBAAB,AABCC,AABCC,BABCB,AABCC,CCCBA,AABCC,AAABC,AABCC,AABCC,ABABC,AABCC,AABCC,AABCC,AAABC,AABCC,CCBAA,AACCB,CCBAA,CBBBA
8,ABCCC,CCBAA,CCBAA,CCBBA,CCBBA,ABCBC,AABCC,AABCC,CCBAA,ABCCB,CCBAA,CCBAA,BAABC,AABCC,ABBCC,AABCC,AABCC,ACCBC,AABBC,AABCC,AABCC,ABCCB,BCCBA,AABBC,ABCCC,AABCC,AABCC,CCBAA,CCBAA,AAABC,AABCC,AABCC,AABCC,CCCBA,AABCC,AABCC,AABBC,ABBBC
9,BAABC,ABBCC,ABBCC,CCBAA,CCBAA,CCBAA,ABBBC,AABCC,AABCC,ABCCC,ACCBA,CCBAA,CCBAA,BAABC,ACCBB,CCBBA,ACCAA,ABCCB,BCCBA,BBAAC,CCBAA,CBBBA,CBAAC,CCBAA,ABBBC,ABABC,CBABA,CBBBA,CAABC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,BBCCA,CBCCA
10,ABCCC,CCBAA,CCBAA,CCBAA,AAABC,CCBAA,CCBAA,AAABC,AABCC,ABCCC,CCBAA,CCBAA,AABCC,AAACC,ACCBB,CBBAA,CBBAA,CCBAA,CCBAA,AAABC,CCBAA,CCAAB,BCBAC,CCAAB,AABCC,AABCC,AABCC,CAABC,CABCA,ABABC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
11,CCBAB,CCBAA,CCBAA,CCBAA,CCBAA,ACCAA,AABCC,AABBC,AABBC,ABCBC,BCCAA,CCBAA,CCBAA,ACCBA,CCBAB,CAABC,BAACC,BBAAC,CBAAB,AAABC,AABCC,CABCA,AAABC,CCCBA,AABCC,ABBBC,AABBC,AABCB,BBAAC,AABCC,AABCC,AABCC,AABCC,ABBCC,AABCC,AABCC,CCBAA,CCBBA
12,ABCCC,CCBAA,CCBAA,CCBAA,CCBBA,AABCC,AABCC,AABCC,AABCC,CBAAA,CCBAA,CCBAA,CCAAB,BBABC,ABCCC,AABCC,AABCC,AABCC,AABBC,AABBC,AABBC,AABCC,AABCC,ABBBC,ABCCC,AABCC,AABCC,CCCBA,CCBAA,AABCC,AABCC,AABCC,AABCC,CBAAA,AABCC,AABCC,AABBC,ABBBC
13,ACCAB,CCBBA,AABCC,AABCC,CCBAA,CCAAB,AABCC,AABBC,BCCBA,CBBAA,CCBAA,AABCC,CBBBA,BAABC,ACCBB,ACCAB,AABCC,AABCC,CAAAC,CBAAA,AABCC,CBBBA,AAABC,ABBBC,AABCC,AABCC,AABBC,AABCC,ABBBC,AABCC,AABCC,AABCC,CCBAA,AABCC,AABCC,AABCC,AABBC,ABBBC
14,ACCBC,BCBAB,CCBBA,CCBBA,ACCBB,BCCBA,AACCC,BAACC,AABCC,ABABC,CBBAA,CBBAA,CCAAB,CCBAA,CCBAA,AAABC,AABCC,AAABC,CAABB,AABCC,CCBAA,ABCCC,CAACC,BAACC,AABBC,ABBAC,ABCCC,CABBB,BAACC,AABCC,AABCC,AABCC,AABCC,AABCC,ABBBC,AACCB,BCAAC,ABAAC
15,ABCCC,CCBAA,CCBAA,CCBAA,AAABC,CCAAB,AABCC,CCBAA,AABCC,ABCCC,CCBAA,CCBAA,ABCCB,AAACC,ACCBA,CBAAB,CCCBA,AABCC,CBAAA,BCCAA,CCBAA,CCBAA,CCCBA,CCBAA,ABCCC,AABCC,AABCC,AABCC,AABBC,CAABC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
16,ABCCC,CCBAA,CCBAA,CCBAA,CCBBA,CBAAB,AABCC,AABCC,CBAAA,ABCCC,CCBAA,CCBAA,CCAAB,ABBCC,ABBCC,AABCC,AABCC,AABCC,AABBC,ABBCC,AABCC,AABCC,AABCC,CBAAC,AACCC,AABCC,CCBBA,CCBAA,AABBC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
17,ABCCC,CCBBA,CCBAA,CCBAA,CCBBA,AABBC,CCBAA,CBAAC,AABCC,ABCCB,CCBAA,CCBAA,CCAAB,AABCC,AABCC,AABCC,CCCBA,CBBBA,CCBAA,CCBAA,CCCBA,BCCAA,CBBBA,BBAAC,ABCCC,AABBC,AABCC,AABCC,BBAAC,AABBC,AABCC,AABCC,AABCC,CBAAA,AABCC,AABCC,AABCC,ABBBC
18,ABCCC,CCBAA,CCBAA,CCBAA,CCBBA,AABCC,AABCC,AABCC,BCCBA,ABCCC,CCBAA,CCBAA,CCAAB,AABCC,ABBCC,AABCC,AABCC,AABCC,AABCC,AACCB,AABCC,AABCC,ABABC,AABCC,ABCCC,AABCC,AABCC,CCBAA,CBAAA,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
19,ABCCC,CCBAA,CCBAA,CCBAA,CCBBA,CCAAA,AABCC,AABCC,CBAAB,ABCCB,CCBAA,CCBAA,AAABC,AAABC,ACCBA,CABCB,BCCBA,CBAAA,CBAAA,CCBAA,CBAAA,BCCAA,CBAAC,BBAAC,ABCCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AAACC,AABCC,AABCC,CBBBA,CCBAA,CCBAB
20,ACCBA,CCBBA,AABCC,AABCC,CCBAA,CBAAB,AABCC,AABCC,CBAAA,BCCBA,AABCC,ABCCB,CCBAA,BAABC,ACCBB,CCBAB,AABCC,CBAAC,ABCCA,BCBAC,BBAAC,CAABB,CCCBA,CCBBA,AABCC,AABCC,AABCC,BABCA,AAABC,CCBAA,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
21,ABCCC,CCBAA,CCBAA,CCBAA,AAABC,CCAAA,AABCC,AABCC,AABCC,ABCCC,CCBAA,CCBAA,BCCBA,AAABC,ACCBB,CCBAA,AAABC,ABCCC,BAABC,CCBAA,BAABC,ACCBA,AAABC,BBAAC,ABCCC,AABCC,AABCC,AABCC,AABBC,AABCC,CCCBA,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
22,CCBAA,CCBAA,CCBAA,CCBAA,CCBAA,CCBAA,AABCC,AABCC,AABCC,ABCBC,ABCBB,CCBAA,CCBBA,CCBAA,CBAAA,AABCC,CCBAA,AABCC,CBAAB,AABCC,CABCA,CBAAA,AAACC,CCBAA,AABCC,AAABC,AABBC,AAABC,ABBBC,AABCC,AABCC,ABBCC,AABCC,AABCC,AABCC,AABCC,CCBAA,CBBBA
23,CBAAA,CCBAA,CCBAA,CCBAA,CCCBA,ABCCA,AABCC,AABCC,AABCC,ABCBC,ACCBB,CCBAA,CCBAA,CCBAA,CCBAA,CCBAA,CCBAA,CBAAB,CABBA,AABCC,AABCC,BABCB,CAAAC,ABBAC,AABCC,BBCCA,AAABC,CCBAA,BBAAC,AABCC,ABABC,ABBBC,AABCC,ACCBA,CCBAA,CCBAA,CCBAA,CCBAA
24,BCCBA,CCBAA,CCBAA,CCBAA,CCBAA,CCBAA,AABCC,AABBC,AABCC,ABCBC,ACCBB,CCBAA,CBAAA,CCBAA,CBAAA,BBCCA,AABCC,AABCC,CBAAB,CBAAA,AABCC,BABCB,AAACC,BAACC,AAABC,AABCC,ABBBC,CCBAA,ABCCC,AABCC,AAABC,AABCC,AABCC,AABCC,ACCBC,AACCB,CCBAA,CBBBA
25,ABCCC,CCCAA,CCBAA,CCBAA,AABCC,CCAAB,AABCC,CCCBA,AABCC,ABCCC,CCBAA,CCBAA,AABCC,AAABC,ACCBA,CCBAA,CCCBA,BCCBA,CCAAC,CCBAA,CCBAA,BBCCA,CCBAA,BBAAC,ABCCC,AABBC,AABCC,AABCC,AABCC,AABCC,CCBAA,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
26,ABCCC,CCBAA,CCBAA,BCCAA,CCBAA,CCBBA,CCBAA,AABCC,AABCC,ABCCC,CCBAA,ABCCB,CBBBA,AAACC,ACCBA,CCBAA,CCBAA,ABCBB,CBAAA,CBBBA,AAABC,BABCC,AAABC,ABBAC,AABCC,CCBAA,AABBC,AAACC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABBC,ABBBC
27,CABCA,CCBAA,CCBAA,CCBAA,CCCBA,ACCBA,AABCC,AABCC,AABCC,ABCBC,ABCBB,CCBAA,CCBAA,CCBAA,CAABC,AABCC,AABCC,ABCCA,CBAAB,CCCBA,AABCC,AABCC,CBAAA,CAACC,AABCC,AABCC,AABBC,CCBAA,BBAAC,AABCC,ABCCC,AABCC,AABCC,BCCBA,CCBAA,CCBAA,CCBAA,CCBAA
28,ABCCC,CCBAA,CCBAA,CCBAA,CCBBA,AABCC,AABCC,AABCC,AABCC,CBAAA,CCBAA,CCBAA,CCAAB,AABCC,ABBCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,AABCC,ABBBC,ABCCC,AABCC,AABCC,CCBAA,CBAAB,AABBC,AABCC,AABCC,CCBAA,AABCC,AABCC,AABCC,AABBC,ABBBC
29,CBAAC,BCCAA,CCBAA,CCBAA,CCCBA,ABCCB,ABBCC,AABBC,AABCC,ABCBC,ACCBA,CCBAA,CCBAA,CCBAA,CBAAB,CAABB,CCBAA,AABCC,CBAAB,CBAAA,AACCB,BABCB,AAACC,BAACC,AABCC,AABCC,ABBCC,CCBAA,ABABC,AABCC,AABCC,ABCCC,ABBCC,AABCC,ACCBC,AACCB,CCBAA,CBBBA
