,0
0,DCDBBAA CBBBACD CCBDACA CCACCAD BBCDDBB CCDDBAA BDCABDB ABDBCCB
1,DABCCCB BDCCCBA ACBCBCD ACDCCCB BCCBCCB DABCBBD DDBABBB ACDDABC
2,CCDBCAB BBABCDD CBCBCBC DBBCBCA DCDCAAA BABCBDC CBBABDC BCBBCBD
3,CCBBDAC AAADDDC DCCBACB DDDCBBA BDCBBCC BBBADCC BCCCCCA ACCBCCB
4,ABCDCBB CDCBBCA DBCBBCA ABDACCD ABABCCD ABBCBDC ABCBDDC CCCCDBA
5,BDBCBBB DBDBBAA AACBBCD ACBBBDD DDCABAA BBBBACD ABCCBBD ABBBBDD
6,BADCCAC AADCDCB BBCABBD DBBADCB DAACBBD AABDCDC ABCCCCB AABDBDC
7,DCDAABB DDBBCAA DDBBBCA CADCBDA BACCBCC BBDCABC ABCCBDB BBADBCC
8,DACCBCB CCCDCBA BCCADBB ACCBBCD BBABBDD AACBCDC DCBBABB CBBCCCB
9,BDBABDD AACDDCC BBCBCBC CBABDCC DCBBCBA DCCCCCA ABCCDAB CDBABCC
10,ABCCBBD DCBBCAB CBCBADB ABCCCCD ABCCBCC DDBABBB BCCDCBA AABCCBD
11,BACCBBC DCCBABB DDACBBB CCCCACB BABBDCC BBBCCCC BCBDBBC ABBBCDD
12,CCBCCBB ABAADDC CBBCBDB ACBDBBC CBBADCB ACDBBDB CBDCBBB AABBDDC
13,CBBBBDB BCDCCBA AACADDC CBACCCC AACCBDD CCBBCCA CACCCBB BBBCCCD
14,DBBBDBC DBBCBBB BBCDCBA AADBCDB ABCCBCD BDBDCBA ABBBCCD CBCCDBA
15,ADCCBCB DDBBBBA CDCCBBA DCCBCBA DBBABCC CACCCBB BABCDCB BCBBCCB
16,CCBCABD DDCBBBA CAACDCC CBBBACD AABBCDD BBCCABD ABCCCDC CDDDBAA
17,BCBBBDB CDCCCAA BCCACAC CBAADBC BABCCBD BBBDCAD CBBBBDB DCBBBBA
18,CDCBBAC BCBCCAC ACBABDD DBBBACC ABCCCBC BABCBCD BBCDBCB CCDCAAA
19,BCBABDC ACDCBCB CCBBBBD DCCCABA ACABCDC CCCACAC DABCBCC ADBBBCC
20,ACBBBDD DCCBBBA BCBCADC CDABBAD BAABCDD BCABCCD BBBADBD ACACBBD
21,BBBBCCC DBBBBCA CADBCCB BBBCDCA AACBBCD BCDABBD BCBCBBD DABBBCB
22,BBBCBCB BAABBCD CCBCCAC ABCCDAC CBDCBBB BBBBDCB BBCDBBB DBBBBCB
23,BBDDCBA BABCBBD CBBCDBA CCCCBAC BBACBDD ABDABBD ABDDCBB ACCBBBD
24,ADBCDCB DCCBBAC CCBBDBC DCBCCAC BCBCCDA BBCCCCA DBBBCAC CDBBBAD
25,BBCDBCB CCBAABD CBBBDAB DCCABBB CCCCCCA BDACBAD BCCABCB DBBABDB
26,DAACDCB DBCBBBB BBBDBDC ABBDBCD CDCDCAA CBBACBD CACCCBC BACACDD
27,BCCBBCC BACBADD BCACBDA DBDCABB DCCCAAA BBACDDB BBABCDD ABCBBDC
28,DACCBCB CCCCCAA ABDCCBB CCDBBBA DAABCCC ABDDBBA DCCBBAD ABCCDBB
29,DDAABBC BCACBBD BDBBCAD CCBACBD CBAACDC BABDBCC DCDBAAA BABCCCC
